id_e,scope,location_mentioned,text,keywords,text_length,relevance,relevance_category,primary_emotion,emotion_intensity,urban_value,l1_confidence,has_location,like_count,comment_count,tags,source,url,crawl_time,publish_time,lon,lat,x_cgcs2000,y_cgcs2000,spatial_hotspot,spatial_type
e0013,规划范围,西陵一路,磨基山森林公园菜市场要搬迁，这次是真的要动了,"磨基山,要动,菜市场,森林公园,搬迁",22,relevant,城建,怀念,1,high,0.82,True,275,15,城建动态,weibo,https://weibo.com/8002756293/e3f87642,2026-06-13T12:00:00.000000,2026-05-28T22:23:45,111.30236001068444,30.689786619676553,528969.79,3396620.97,东山公园,公园
e0014,规划范围,长江,珍珠路小区门口乱倒建筑垃圾，大家有没有同感,"同感,垃圾,珍珠,小区,有没有",21,relevant,环境,愤怒,2,medium,0.97,True,3,0,身边事|宜昌环境,weibo,https://weibo.com/3689016713/622d5d3f,2026-06-13T12:00:00.000000,2026-06-09T01:00:35,111.30203319825154,30.714963782927953,528930.96,3399412.16,夷陵大道-云集段,次级商圈
e0015,规划范围,东山,沿江大道中段那边附近工厂排废气,"废气,中段,沿江,大道,那边",15,relevant,环境,好奇,4,low,0.72,True,5,0,周边|环境,dianping,https://www.dianping.com/review/42877626,2026-06-13T12:00:00.000000,2026-04-08T08:33:22,111.29519566294748,30.701773371443355,528279.86,3397948.06,均瑶广场,核心商圈
e0016,规划范围,港窑路,城东大道BRT站的路边烧烤油烟扰民影响了周边居民生活,"BRT,油烟,扰民,烧烤,城东",26,relevant,城市,失望,3,high,0.86,True,17,3,身边事|城市生活,weibo,https://weibo.com/8991511106/f0c123bd,2026-06-13T12:00:00.000000,2026-03-16T04:29:23,111.320439701414,30.734493993420166,530687.9,3401582.28,三峡大学,教育
e0017,规划范围,锦绣社区,每次路过沿江大道中段都闻到灰尘特别大，窗户都不敢开,"闻到,灰尘,中段,沿江,路过",25,relevant,环境,满足,2,low,0.75,True,10,3,宜昌|环境,xiaohongshu,https://www.xiaohongshu.com/explore/b74f9b7b83fd99f99b4bf1a5,2026-06-13T12:00:00.000000,2026-04-21T15:44:29,111.34341738990769,30.68314689265571,532905.86,3395896.17,中南路商圈,核心商圈
e0018,规划范围,白龙岗小区,沿江大道那边河道漂浮垃圾,"漂浮,沿江,垃圾,大道,河道",12,relevant,城市,喜爱,4,low,0.71,True,13,1,城市|生活|宜昌,xiaohongshu,https://www.xiaohongshu.com/explore/5f65e625fb0fcf09e87e267e,2026-06-13T12:00:00.000000,2026-05-10T03:35:19,111.33194652833535,30.723511036613626,531793.49,3400367.85,夷陵大道-港窑段,次级商圈
e0019,规划范围,西陵一路,儿童公园环境整治后好多了，但小区门口乱倒建筑垃圾还是存在,"儿童公园,垃圾,整治,小区,好多",28,relevant,环境,失望,2,low,0.82,True,11,3,环境污染|河道管理,su12345,https://su12345.yichang.gov.cn/complaint/S2026903284,2026-06-13T12:00:00.000000,2026-05-19T11:16:01,111.37331671967553,30.656847020641784,535780.49,3392989.58,港务社区,社区
e0020,规划范围,运河公园,住在锦绣社区门口附近，晚上光污染严重，快受不了了,"光污染,锦绣,受不了,社区,门口",24,relevant,环境,满足,3,medium,0.97,True,4,4,生活|环境|宜昌,xiaohongshu,https://www.xiaohongshu.com/explore/3fc747e7d673958aeb76af7c,2026-06-13T12:00:00.000000,2026-06-11T23:50:49,111.30955824902438,30.694319527693924,529658.09,3397125.39,儿童公园,公园
e0021,规划范围,夷陵区,滨江公园新装的信报箱挺好的，给社区点赞,"信报箱,点赞,新装,滨江,社区",19,relevant,社区,好奇,1,high,0.8,True,25,2,宜昌|社区|民生,xiaohongshu,https://www.xiaohongshu.com/explore/6ded65033c0a36334bda8036,2026-06-13T12:00:00.000000,2026-05-17T10:45:45,111.31296941265695,30.70170049150155,529982.62,3397944.59,宜昌站,交通
e0022,规划范围,港窑路,水悦城护栏早该换了，反映了好几次了,"水悦城,早该,护栏,几次,反映",17,relevant,设施,喜爱,3,low,0.83,True,25,4,道路设施|市政设施,su12345,https://su12345.yichang.gov.cn/complaint/S2026116901,2026-06-13T12:00:00.000000,2026-05-11T00:50:27,111.30245689119434,30.70616221078265,528974.18,3398436.48,大洋百货,核心商圈
e0023,规划范围,珍珠路,伍家岗区的快递比以前好多了,"伍家岗区,快递,好多,以前",13,relevant,民生,喜爱,4,medium,0.9,True,24,2,民生|生活便利|宜昌服务,weibo,https://weibo.com/6626909007/726ddfe7,2026-06-13T12:00:00.000000,2026-03-23T17:29:47,111.30963566266978,30.708136448398093,529661.28,3398657.23,万达广场,核心商圈
e0024,规划范围,运河公园,早起白龙岗小区南门散步，但空气有异味体验很差,"龙岗,异味,很差,散步,早起",22,relevant,城市,愤怒,5,high,0.92,True,2,5,身边事|城市生活,weibo,https://weibo.com/9413010620/70e7f1b9,2026-06-13T12:00:00.000000,2026-04-05T04:45:03,111.29757857427491,30.698699603542302,528509.05,3397607.88,云集路-沿江大道口,沿江商圈
e0025,规划范围,体育场路,西陵一路天桥下水道反味，希望有关部门管管,"反味,西陵,管管,下水道,天桥",20,relevant,城市,失望,3,medium,0.76,True,2,4,身边事|宜昌环境|城市生活,weibo,https://weibo.com/8827100119/5e62f1ea,2026-06-13T12:00:00.000000,2026-03-28T07:35:11,111.4156462625084,30.632311738735304,539847.65,3390283.73,花艳社区,社区
e0026,规划范围,白龙岗小区,绿萝路的供电管理混乱,"绿萝路,管理混乱,供电",10,relevant,社区,愤怒,5,low,0.94,True,32,7,社区服务,su12345,https://su12345.yichang.gov.cn/complaint/S2026747570,2026-06-13T12:00:00.000000,2026-05-19T04:01:10,111.35738449217513,30.683793582778875,534243.95,3395972.04,万寿桥社区,社区
e0027,规划范围,东山大道,胜利四路要建新的学校，有业主群吗求拉,"四路,建新,业主,胜利,学校",18,relevant,城建,失望,1,medium,0.9,True,6,3,城建动态,weibo,https://weibo.com/6616630193/66c60f58,2026-06-13T12:00:00.000000,2026-04-06T01:47:58,111.31227715059616,30.712572726415925,529912.95,3399149.76,沿江大道东段社区,社区
e0028,规划范围,城东大道,沿江大道空气有异味，希望有关部门管管,"管管,异味,沿江,大道,空气",18,relevant,环境,怀念,3,high,0.92,True,6,3,周边环境,meituan,https://www.meituan.com/meishi/550551016/,2026-06-13T12:00:00.000000,2026-03-17T10:11:55,111.31914863481298,30.696462212841894,530576.25,3397365.51,东山花园,社区
e0029,规划范围,锦绣社区,猇亭区那边灰尘特别大，窗户都不敢开,"灰尘,窗户,那边,不敢,特别",17,relevant,环境,怀念,1,low,0.9,True,6,5,周边环境,meituan,https://www.meituan.com/meishi/454351228/,2026-06-13T12:00:00.000000,2026-04-14T08:48:09,111.37461096088846,30.6664289227928,535901.0,3394052.29,胜利一路社区,社区
e0030,规划范围,绿萝路,东山公园准备建垃圾中转站，大家公示期到月底,"期到,中转站,东山,公示,垃圾",21,relevant,城建,失望,4,low,0.94,True,45,8,城建,xiaohongshu,https://www.xiaohongshu.com/explore/cd87bba1d5607ec281f27261,2026-06-13T12:00:00.000000,2026-03-25T16:11:16,111.32081759857556,30.742673748144675,530721.49,3402489.23,窑湾社区,边缘
e0031,规划范围,点军区,每次路过CBD中央大街都闻到灰尘特别大，窗户都不敢开,"中央大街,CBD,闻到,灰尘,路过",26,relevant,环境,怀念,2,medium,0.99,True,14,1,环境|周边,dianping,https://www.dianping.com/review/84528537,2026-06-13T12:00:00.000000,2026-06-12T08:37:19,111.32726016446506,30.718044772451975,531346.4,3399760.51,水悦城,核心商圈
e0032,规划范围,国贸大厦,发展大道和CBD的银行对比，差距太大了,"CBD,大道,差距,对比,太大",19,relevant,社区,期待,4,low,0.98,True,112,6,生活服务|社区|便民|宜昌,xiaohongshu,https://www.xiaohongshu.com/explore/e66ea6c87d22c4d19350cdcf,2026-06-13T12:00:00.000000,2026-04-21T22:09:10,111.33831287253984,30.6959742990786,532412.46,3397316.8,大公桥江段,沿江社区
e0033,规划范围,夷陵大道,原来夷陵大道城市书房24小时开放，今天才发现,"24,夷陵,书房,大道,开放",22,relevant,城市,怀念,3,medium,0.93,True,27,2,宜昌|城市记忆|文化,xiaohongshu,https://www.xiaohongshu.com/explore/3046979be926d82c8a7cb82a,2026-06-13T12:00:00.000000,2026-03-25T10:17:30,111.30898005050182,30.720111942784495,529594.82,3399984.72,运河公园,公园
e0034,规划范围,儿童公园,城东大道BRT站公交站台坏了，反映了好几次了,"BRT,站台,城东,公交,大道",22,relevant,设施,愤怒,1,high,0.73,True,6,0,公共设施|基础设施,dianping,https://www.dianping.com/review/71343507,2026-06-13T12:00:00.000000,2026-05-10T15:28:56,111.3619304488729,30.65049520028808,534691.44,3392281.82,合益路,社区
e0035,规划范围,白龙岗小区,吐槽沿江大道中段的消防通道，早该换了,"吐槽,消防通道,早该,中段,沿江",18,relevant,城市,愤怒,2,medium,0.89,True,12,5,城市生活|宜昌,xiaohongshu,https://www.xiaohongshu.com/explore/62ef065cd076417e156d8c72,2026-06-13T12:00:00.000000,2026-06-09T02:26:45,111.34789585614271,30.67287780521152,533338.51,3394759.01,中南路商圈,核心商圈
e0036,规划范围,运河公园,住在胜利四路滨江最不方便的就是保安涨了服务反而更差,"更差,滨江,四路,保安,方便",25,relevant,社区,中性,4,high,0.9,True,37,6,社区|生活服务|便民,xiaohongshu,https://www.xiaohongshu.com/explore/3c76c9133df49c16d4824f8d,2026-06-13T12:00:00.000000,2026-04-21T05:28:15,111.28843702674824,30.70569701581531,527631.26,3398381.37,西陵一路商区,次级商圈
e0037,规划范围,滨江公园,香山福久源的理发店收费不合理，大家有没有同感,"福久源,同感,理发店,香山,不合理",22,relevant,民生,满足,1,medium,0.9,True,17,4,宜昌服务|民生|生活便利,weibo,https://weibo.com/4951043587/9b7cd5f7,2026-06-13T12:00:00.000000,2026-03-21T23:11:46,111.30234323720761,30.70199803412759,528964.54,3397974.79,CBD中央商务区,核心商圈
e0038,规划范围,东山公园,香格里拉的工地天天施工，噪音太大了，谁能来管管,"香格里拉,管管,噪音,工地,施工",23,relevant,城市,好奇,1,low,0.72,True,85,8,生活|城市|环境|宜昌,xiaohongshu,https://www.xiaohongshu.com/explore/65331ddf981c3d99b37199df,2026-06-13T12:00:00.000000,2026-05-10T01:45:07,111.29688305994549,30.698039333453703,528442.61,3397534.51,解放路-沿江大道口,沿江商圈
e0039,规划范围,点军区,东山大道空气有异味，大家有没有同感,"同感,异味,东山,大道,有没有",17,relevant,环境,喜爱,5,high,0.75,True,1085,61,宜昌环境,weibo,https://weibo.com/8728291595/2c955c4f,2026-06-13T12:00:00.000000,2026-05-08T04:51:47,111.32724865856532,30.717961289373186,531345.33,3399751.25,三峡大学,教育
e0040,规划范围,长江,港窑路附近绿化设计不合理，出行很不方便,"港窑路,绿化,出行,不合理,方便",19,relevant,民生,失望,1,low,0.72,True,17834,117,宜昌|民生,xiaohongshu,https://www.xiaohongshu.com/explore/5ebf493f97dadc9819b82704,2026-06-13T12:00:00.000000,2026-03-23T03:51:15,111.32233234897063,30.72992047215596,530870.61,3401075.75,三峡大学,教育
e0041,规划范围,均瑶广场,珍珠路小学的河水发臭了问题，已经持续大半年了,"发臭,大半年,珍珠,河水,小学",22,relevant,城市,喜爱,5,medium,0.78,True,108,7,宜昌环境|身边事|城市生活,weibo,https://weibo.com/8851741632/d6e817b3,2026-06-13T12:00:00.000000,2026-03-16T16:30:11,111.30902799047028,30.70568252059816,529603.81,3398385.01,万达江边段,沿江商圈
e0042,规划范围,发展大道,对比前几年，磨基山森林公园下水道反味越来越严重了,"磨基山,反味,下水道,森林公园,对比",24,relevant,城市,愤怒,3,high,0.75,True,25,5,城市|环境,xiaohongshu,https://www.xiaohongshu.com/explore/1f4fc13c4cbed5fd42bbe697,2026-06-13T12:00:00.000000,2026-04-26T20:50:55,111.29410111890765,30.700532337947898,528175.36,3397810.19,夷陵广场,核心商圈
e0043,规划范围,运河公园,西陵一路天桥的垃圾清运不及时问题，已经持续大半年了,"垃圾清运,西陵,天桥,大半年,一路",25,relevant,城市,愤怒,2,medium,0.71,True,72,5,宜昌|环境|生活|城市,xiaohongshu,https://www.xiaohongshu.com/explore/a5a3e4c70739558c81977bc0,2026-06-13T12:00:00.000000,2026-04-03T15:59:16,111.32499626438997,30.715951964764972,531130.23,3399527.86,夷陵大道-港窑段,次级商圈
e0044,规划范围,东山大道,绿萝路菜市场健身器材早该换了，反映了好几次了,"健身器材,绿萝路,菜市场,早该,几次",22,relevant,设施,愤怒,4,low,0.89,True,0,1,基础设施,dianping,https://www.dianping.com/review/98846524,2026-06-13T12:00:00.000000,2026-03-13T11:43:59,111.29395493180157,30.704339944051817,528160.25,3398232.29,步行街,核心商圈
e0045,规划范围,水悦城,东山公园的滨江的文化墙更新了，周末带娃去了,"带娃,滨江,东山,周末,公园",21,relevant,城市,喜爱,2,high,0.77,True,13,1,打卡|城市记忆|文化,xiaohongshu,https://www.xiaohongshu.com/explore/498b9bf8258b590f0c5c6bfd,2026-06-13T12:00:00.000000,2026-03-30T07:10:41,111.30580379664836,30.698551752171866,529297.1,3397593.61,胜利四路社区,社区
e0046,规划范围,东山,东山公园山顶附近快递比以前差远了，生活很不方便,"差远了,快递,东山,山顶,公园",23,relevant,民生,怀念,3,low,0.98,True,9,5,民生|宜昌服务,weibo,https://weibo.com/5021573449/59f2cfc2,2026-06-13T12:00:00.000000,2026-04-03T01:29:31,111.36375126163877,30.66664740481321,534860.17,3394073.09,桔城路商圈,次级商圈
e0047,规划范围,体育场路,香格里拉的楼梯扶手设计不合理，物业一直不解决,"楼梯扶手,香格里拉,不合理,物业,设计",22,relevant,设施,怀念,3,medium,0.94,True,4,4,公共设施,su12345,https://su12345.yichang.gov.cn/complaint/S2026380059,2026-06-13T12:00:00.000000,2026-03-29T14:53:28,111.29339797736296,30.73201481542456,528098.87,3401300.33,夜明珠,社区
e0048,规划范围,体育场路,夷陵区的博物馆免费开放了值得一逛,"夷陵区,一逛,免费,博物馆,开放",16,relevant,城市,失望,2,high,0.91,True,94,3,打卡|城市记忆|文化,xiaohongshu,https://www.xiaohongshu.com/explore/9ec3025b3dd5767df80bc48c,2026-06-13T12:00:00.000000,2026-05-17T15:43:48,111.32058547562583,30.70821402235246,530710.19,3398668.77,夷陵大道-胜利段,次级商圈
e0049,规划范围,黄柏河,恒大绿洲的消防通道早该换了，物业一直不解决,"恒大,消防通道,早该,绿洲,物业",21,relevant,设施,好奇,5,high,0.99,True,18,1,基础设施,meituan,https://www.meituan.com/meishi/640638497/,2026-06-13T12:00:00.000000,2026-04-07T17:19:08,111.35075236428693,30.686960308216076,533607.37,3396321.12,万寿桥社区,社区
e0050,规划范围,胜利四路,白龙岗小区的垃圾桶太旧了,"太旧,龙岗,垃圾桶,小区",12,relevant,城市,好奇,3,high,0.9,True,3,4,城市生活|宜昌,xiaohongshu,https://www.xiaohongshu.com/explore/8f338d4537c6ba921d19cc30,2026-06-13T12:00:00.000000,2026-05-01T19:04:35,111.32745374545846,30.708649881669103,531367.99,3398719.0,三峡职业技术学院,教育
e0051,规划范围,猇亭区,沿江大道的消防通道如果能修好就好了,"消防通道,修好,沿江,大道,如果",17,relevant,城市,好奇,2,high,0.8,True,7,4,社区|民生|城市生活|宜昌,xiaohongshu,https://www.xiaohongshu.com/explore/804805a427b18bb579a1acab,2026-06-13T12:00:00.000000,2026-04-10T09:51:14,111.3343009165703,30.70865164423789,532023.91,3398721.12,夷陵大道-港窑段,次级商圈
e0052,规划范围,西陵区,三峡大学最近晚上光污染严重，居民意见很大,"光污染,三峡,晚上,意见,居民",20,relevant,环境,喜爱,2,medium,0.92,True,12,2,周边|环境,dianping,https://www.dianping.com/review/45695487,2026-06-13T12:00:00.000000,2026-04-20T12:04:07,111.34025035647613,30.695628881595805,532598.2,3397279.07,大公桥社区,社区
e0053,规划范围,西陵区,每次路过绿萝路都闻到水质越来越差了,"绿萝路,闻到,水质,路过,每次",17,relevant,环境,中性,5,high,0.82,True,24,5,环境,xiaohongshu,https://www.xiaohongshu.com/explore/7342e016d53a398e334089b1,2026-06-13T12:00:00.000000,2026-06-04T01:22:26,111.2881802986021,30.69885977396714,527608.61,3397623.29,滨江公园-双亭,沿江休闲
e0054,规划范围,西陵一路,每天路过云集路，信报箱被占了太危险了,"信报箱,云集,路过,危险,每天",18,relevant,设施,怀念,5,high,0.81,True,10,5,公共设施,dianping,https://www.dianping.com/review/62245632,2026-06-13T12:00:00.000000,2026-04-20T09:11:05,111.28439319816107,30.738156523032647,527234.75,3401979.01,西坝社区,社区
e0055,规划范围,体育场路,每次路过CBD都闻到工地天天施工，噪音太大了,"CBD,噪音,闻到,工地,路过",22,relevant,城市,喜爱,2,medium,0.98,True,10,0,城市生活|身边事,weibo,https://weibo.com/3273737990/a9e93f8b,2026-06-13T12:00:00.000000,2026-06-03T06:58:48,111.32019986930017,30.71585575240093,530670.83,3399515.87,夷陵大道-胜利段,次级商圈
e0056,规划范围,长江,住在西陵区附近，下水道反味，快受不了了,"西陵区,反味,下水道,受不了,附近",19,relevant,城市,怀念,2,high,0.78,True,28,4,城市生活,weibo,https://weibo.com/3052873025/9a4d077a,2026-06-13T12:00:00.000000,2026-05-16T23:02:48,111.28452886307102,30.691550456468775,527260.84,3396812.05,滨江公园-镇江阁,沿江休闲
e0057,规划范围,胜利四路,关于胜利四路滨江道路要拓宽，有知情人士吗,"滨江,四路,拓宽,知情,胜利",20,relevant,城建,期待,4,high,0.87,True,5,2,城建,dianping,https://www.dianping.com/review/89174575,2026-06-13T12:00:00.000000,2026-05-05T10:05:08,111.32313293836059,30.703387157930823,530955.76,3398134.34,沿江大道东段社区,社区
e0058,规划范围,运河公园,西陵一路的街头艺术越来越多了，推荐大家去看看,"西陵,街头,一路,艺术,越来越",22,relevant,城市,愤怒,2,high,0.98,True,3,5,城市记忆|打卡,xiaohongshu,https://www.xiaohongshu.com/explore/e331b7f235e9cedcbe70e4f5,2026-06-13T12:00:00.000000,2026-05-22T02:57:06,111.37699659373638,30.662055923711115,536131.25,3393568.24,桔城路商圈,次级商圈
e0059,规划范围,均瑶广场,葛洲坝渣土车半夜经过噪音大，大家有没有同感,"渣土,同感,葛洲坝,噪音,半夜",21,relevant,城市,好奇,4,high,0.86,True,22,4,宜昌|环境|城市|生活,xiaohongshu,https://www.xiaohongshu.com/explore/603d54ff580c3ddecd154cc1,2026-06-13T12:00:00.000000,2026-03-31T21:29:32,111.37779785411165,30.667543380167817,536206.0,3394176.87,伍家岗小学,教育
e0060,规划范围,磨基山公园,磨基山森林公园规划方案公示了，大家公示期到月底,"公示,磨基山,期到,森林公园,月底",23,relevant,城建,愤怒,5,low,0.92,True,76,2,城建动态,weibo,https://weibo.com/7536910359/fc7f4bb4,2026-06-13T12:00:00.000000,2026-06-04T17:02:37,111.2809978985676,30.739687026387593,526909.17,3402147.87,葛洲坝中学,教育
e0061,规划范围,西陵一路,香山福久源的电梯需要增加，物业一直不解决,"福久源,香山,电梯,物业,解决",20,relevant,城市,喜爱,1,medium,0.95,True,19,4,城市生活,xiaohongshu,https://www.xiaohongshu.com/explore/1ea569cd7a893cebd053c25a,2026-06-13T12:00:00.000000,2026-04-23T16:51:27,111.38693104704312,30.663608095392696,537082.78,3393743.56,白沙路,社区
e0062,规划范围,均瑶广场,城东大道BRT站那边要拆迁了,"BRT,城东,拆迁,大道,那边",14,relevant,城建,期待,1,high,0.87,True,12,3,城建,dianping,https://www.dianping.com/review/10838561,2026-06-13T12:00:00.000000,2026-03-30T05:26:37,111.30133589480437,30.709809461269405,528865.71,3398840.54,锦绣社区,社区
e0063,规划范围,国贸大厦,磨基山公园环境整治后好多了，但晚上光污染严重还是存在,"磨基山,光污染,整治,好多,公园",26,relevant,环境,中性,1,low,0.89,True,10,5,周边环境,meituan,https://www.meituan.com/meishi/705299907/,2026-06-13T12:00:00.000000,2026-05-14T18:45:08,111.29607645199535,30.702810424685982,528363.94,3398063.25,均瑶广场,核心商圈
e0064,规划范围,东山大道,今天看到白龙岗小区南门规划方案公示了的通告,"龙岗,通告,公示,南门,小区",21,relevant,城建,满足,5,low,0.72,True,10,0,城建动态|宜昌新闻|民生实事,weibo,https://weibo.com/9833511274/1ef8a33b,2026-06-13T12:00:00.000000,2026-05-30T04:20:52,111.35832066496535,30.671501544059534,534338.01,3394609.57,五一广场,核心商圈
e0065,规划范围,白龙岗小区,伍家岗区最近附近建了新的医院，邻居们都在讨论,"伍家岗区,邻居们,建了,讨论,医院",22,relevant,城建,失望,3,high,0.89,True,213,4,城建动态,weibo,https://weibo.com/1822556713/906c74e2,2026-06-13T12:00:00.000000,2026-05-18T07:54:20,111.31185592741893,30.709723364163946,529873.48,3398833.75,宜昌站,交通
e0066,规划范围,滨江公园,三峡大学沁苑的环境问题：路边烧烤油烟扰民,"沁苑,油烟,扰民,烧烤,三峡",20,relevant,城市,怀念,5,medium,0.95,True,5,3,宜昌环境|城市生活,weibo,https://weibo.com/9030469484/e5d40717,2026-06-13T12:00:00.000000,2026-04-28T05:03:52,111.38568751251672,30.66136462723303,536964.46,3393494.43,白沙路,社区
e0067,规划范围,CBD,胜利四路道路要拓宽，对周边房价有影响吗,"四路,拓宽,周边,房价,胜利",19,relevant,城建,满足,2,medium,0.8,True,37,5,新鲜事|规划|宜昌|城建,xiaohongshu,https://www.xiaohongshu.com/explore/91a6f66b38a96d9101bef2e7,2026-06-13T12:00:00.000000,2026-04-01T06:33:52,111.3063268076609,30.713247442673925,529342.76,3399222.99,宜昌站,交通
e0068,规划范围,葛洲坝,绿萝路的图书馆环境很好，老宜昌人的记忆,"绿萝路,宜昌,图书馆,记忆,环境",19,relevant,城市,失望,3,high,0.86,True,8,2,宜昌|文化|城市记忆|打卡,xiaohongshu,https://www.xiaohongshu.com/explore/2f3998898d19810256a0ad81,2026-06-13T12:00:00.000000,2026-06-05T06:35:58,111.32208224432816,30.700678429083744,530855.97,3397833.75,沿江大道东段社区,社区
e0069,规划范围,体育场路,CBD停车位太旧了，反映了好几次了,"CBD,太旧,停车位,几次,反映",17,relevant,城市,满足,4,high,0.94,True,189,15,民生关注|城市设施|宜昌身边事,weibo,https://weibo.com/9436198814/638b36c4,2026-06-13T12:00:00.000000,2026-03-18T14:10:26,111.31100487342519,30.69607741712534,529796.14,3397320.66,胜利四路江口,沿江社区
e0070,规划范围,万达广场,住在国贸大厦附近，灰尘特别大，窗户都不敢开，快受不了了,"国贸,灰尘,受不了,窗户,大厦",27,relevant,环境,喜爱,3,medium,0.88,True,68,0,身边事|宜昌环境,weibo,https://weibo.com/5516266981/71bb99f9,2026-06-13T12:00:00.000000,2026-05-07T12:13:20,111.3613124573795,30.678682188185878,534622.15,3395406.57,宝塔河社区,社区
