id_e,scope,source,created_at,publish_time,text,keywords,text_length,domain,element,primary_emotion,emotion_intensity,polarity_hint,intensity,urban_value,l1_confidence,has_location,location_mentioned,relevance,relevance_category,like_count,comment_count,tags,url,time_label,area_seed,area_tag,lon,lat,x_cgcs2000,y_cgcs2000,spatial_hotspot,spatial_type,score,polarity,l2_confidence,emotion_type,category,target_type,target_detail
e0014,xiling_wujia,xiaohongshu,2025-09-22T16:53:00+08:00,2025-09-22T16:53:00+08:00,新修的滨江绿道走起来很舒服，规划得不错,"新修,绿道,滨江,舒服,不错",19,urban_operation,facility,期待,0.86,positive,0.86,high,0.97,True,宜昌,relevant,科教文化服务,5,3,小学,,T2,红星路小学,ermalu,111.2828,30.6934,527095.75,3.3970208e+06,红星路小学,科教文化服务,0.83,Very Positive,0.19,喜悦满意,喜悦满意,,
e0015,xiling_wujia,meituan,2025-09-22T10:54:05+08:00,2025-09-22T10:54:05+08:00,物业不作为，投诉没人理,"人理,投诉,物业,作为",11,urban_operation,service,愤怒,1.0,negative,1.0,low,0.93,True,宜昌,relevant,餐饮服务,2,0,中餐厅,,T2,瑜儿腊货馆,ermalu,111.2832,30.6954,527132.94,3.397242e+06,瑜儿腊货馆,餐饮服务,0.0,Very Negative,0.11,不满抱怨,不满抱怨,,
e0016,xiling_wujia,dianping,2025-10-01T10:25:44+08:00,2025-10-01T10:25:44+08:00,维修预约了一周都没人上门,"预约,上门,维修,没人,一周",12,urban_planning,service,愤怒,1.0,negative,1.0,low,0.79,True,宜昌,relevant,休闲娱乐,11,0,酒吧,,T2,神话酒吧(大南门店),ermalu,111.2752,30.7,526365.2,3.3977452e+06,神话酒吧(大南门店),休闲娱乐,0.06,Very Negative,0.12,不满抱怨,不满抱怨,,
e0017,xiling_wujia,meituan,2025-09-27T01:20:39+08:00,2025-09-27T01:20:39+08:00,夜市开市了，烟火气十足，热闹,"夜市,烟火,十足,开市,热闹",14,urban_operation,event,满足,1.0,positive,1.0,low,0.97,True,宜昌,relevant,科教文化服务,0,4,文化宫,,T2,宜昌市工人文化宫,ermalu,111.287,30.6971,527494.8,3.3974315e+06,宜昌市工人文化宫,科教文化服务,0.96,Very Positive,0.14,喜悦满意,喜悦满意,,
e0018,xiling_wujia,meituan,2025-09-16T21:19:18+08:00,2025-09-16T21:19:18+08:00,物业服务到位，响应及时,"服务到位,响应,物业,及时",11,urban_governance,service,满足,0.56,positive,0.56,high,0.83,True,宜昌,relevant,休闲娱乐,13,6,酒吧,,T2,神话酒吧(大南门店),ermalu,111.276,30.6985,526443.4,3.397579e+06,神话酒吧(大南门店),休闲娱乐,0.68,Positive,0.11,不满抱怨,不满抱怨,,
e0019,xiling_wujia,weibo,2025-09-23T02:45:17+08:00,2025-09-23T02:45:17+08:00,价格普通,"普通,价格",11,urban_operation,event,中性,0.298,neutral,0.298,medium,0.84,True,宜昌,relevant,交通设施服务,1,5,公共停车场,,T2,宜昌解放路步行街@埋点,ermalu,111.28,30.6985,526824.5,3.3975812e+06,宜昌解放路步行街地下停车场,交通设施服务,0.57,Neutral,0.04,其他,其他,,
e0020,xiling_wujia,dianping,2025-09-15T15:40:19+08:00,2025-09-15T15:40:19+08:00,历史建筑修缮得很用心,"修缮,用心,建筑,历史",10,urban_operation,culture,满足,1.0,positive,1.0,medium,0.79,True,宜昌,relevant,交通设施服务,9,0,公共停车场,,T2,滨江公园地面停车场,ermalu,111.2822,30.692,527042.56,3.3968625e+06,滨江公园地面停车场,交通设施服务,0.97,Very Positive,0.1,怀旧认同,怀旧认同,,
e0021,xiling_wujia,12345,2025-09-17T22:36:12+08:00,2025-09-17T22:36:12+08:00,历史建筑修缮得很用心,"修缮,用心,建筑,历史",10,urban_operation,culture,期待,1.0,positive,1.0,high,0.93,True,宜昌,relevant,住宿服务,0,11,宾馆酒店,,T2,宜昌丽锦快捷假日酒店,ermalu,111.2816,30.6978,526976.2,3.397506e+06,宜昌丽锦快捷假日酒店,住宿服务,0.97,Very Positive,0.1,怀旧认同,怀旧认同,,
e0022,xiling_wujia,weibo,2025-09-30T05:06:31+08:00,2025-09-30T05:06:31+08:00,没什么亮点,"亮点,没什么",5,urban_operation,culture,中性,0.284,neutral,0.284,low,0.87,True,宜昌,relevant,体育休闲服务,0,6,口腔医院,,T2,宜昌牙管家口腔(隆康路总院),ermalu,111.2875,30.6939,527541.44,3.3970788e+06,宜昌牙管家口腔(隆康路总院),体育休闲服务,0.44,Neutral,0.05,其他,其他,,
e0023,xiling_wujia,xiaohongshu,2025-09-29T08:32:38+08:00,2025-09-29T08:32:38+08:00,办事大厅工作人员态度冷漠,"冷漠,大厅,办事,工作人员,态度",12,urban_operation,service,愤怒,0.76,negative,0.76,medium,0.98,True,宜昌,relevant,商务住宅,6,0,住宅小区,,T2,紫晶城天御,ermalu,111.2768,30.6979,526516.06,3.3975095e+06,紫晶城天御,商务住宅,0.22,Negative,0.12,不满抱怨,不满抱怨,,
e0024,xiling_wujia,xiaohongshu,2025-09-24T20:30:17+08:00,2025-09-24T20:30:17+08:00,这家店服务态度差，不会再来了,"服务态度,再来,这家,不会",14,urban_renewal,service,失望,1.0,negative,1.0,high,0.91,True,宜昌,relevant,科教文化服务,13,0,文化宫,,T2,宜昌市工人文化宫,ermalu,111.2863,30.696,527433.25,3.3973088e+06,宜昌市工人文化宫,科教文化服务,0.01,Very Negative,0.14,不满抱怨,不满抱怨,,
e0025,xiling_wujia,12345,2025-10-02T05:54:18+08:00,2025-10-02T05:54:18+08:00,文化设施破旧失修，令人失望,"失修,破旧,失望,设施,令人",13,urban_operation,culture,失望,1.0,negative,1.0,low,0.82,True,宜昌,relevant,休闲娱乐,1,0,酒吧,,T2,神话酒吧(大南门店),ermalu,111.2752,30.6993,526361.5,3.3976742e+06,神话酒吧(大南门店),休闲娱乐,0.05,Very Negative,0.13,失望厌恶,失望厌恶,,
e0026,xiling_wujia,meituan,2025-09-21T14:03:23+08:00,2025-09-21T14:03:23+08:00,井盖松动没人处理，差点绊倒,"井盖,绊倒,松动,差点,处理",13,urban_governance,facility,失望,1.0,negative,1.0,medium,0.86,True,宜昌,relevant,体育休闲服务,5,2,药房,,T2,圆心大药房(宜昌第一人民医院店),ermalu,111.2841,30.6977,527215.8,3.3974908e+06,圆心大药房(宜昌第一人民医院店),体育休闲服务,0.02,Very Negative,0.13,不满抱怨,不满抱怨,,
e0027,xiling_wujia,weibo,2025-09-28T02:20:43+08:00,2025-09-28T02:20:43+08:00,就这样吧,这样,13,urban_governance,facility,中性,0.242,neutral,0.242,high,0.88,True,宜昌,relevant,餐饮服务,5,3,特色/地方风味餐厅,,T2,二马路历史文化街区@埋点,ermalu,111.2808,30.6962,526901.44,3.3973298e+06,花果牛魔王高品质烤牛肉,餐饮服务,0.53,Neutral,0.04,其他,其他,,
e0028,xiling_wujia,weibo,2025-09-23T07:53:09+08:00,2025-09-23T07:53:09+08:00,公交等了四十分钟不来，太差了,"四十分钟,太差,公交",14,urban_planning,facility,愤怒,1.0,negative,1.0,high,0.81,True,宜昌,relevant,住宿服务,27,0,宾馆酒店,,T2,宜昌丽锦快捷假日酒店,ermalu,111.2811,30.6985,526925.8,3.3975795e+06,宜昌丽锦快捷假日酒店,住宿服务,0.07,Very Negative,0.14,不满抱怨,不满抱怨,,
e0029,xiling_wujia,dianping,2025-09-22T22:02:37+08:00,2025-09-22T22:02:37+08:00,这条路修好后通畅多了，赞,"修好,通畅,这条",12,urban_operation,facility,喜爱,1.0,positive,1.0,high,0.9,True,宜昌,relevant,住宿服务,16,1,宾馆酒店,,T2,宜昌丽锦快捷假日酒店,ermalu,111.2817,30.6976,526988.94,3.3974842e+06,宜昌丽锦快捷假日酒店,住宿服务,0.94,Very Positive,0.12,喜悦满意,喜悦满意,,
e0030,xiling_wujia,meituan,2025-09-17T22:05:40+08:00,2025-09-17T22:05:40+08:00,一般般,一般般,3,urban_operation,event,中性,0.2,neutral,0.2,medium,0.93,True,宜昌,relevant,科教文化服务,9,0,中学,,T2,宜昌市五中,ermalu,111.285,30.6938,527301.6,3.3970665e+06,宜昌市五中,科教文化服务,0.5,Neutral,0.03,其他,其他,,
e0031,xiling_wujia,meituan,2025-10-02T16:36:32+08:00,2025-10-02T16:36:32+08:00,没什么特别,"没什么,特别",4,urban_operation,service,中性,0.256,neutral,0.256,low,0.9,True,宜昌,relevant,购物服务,7,0,步行街,,T2,宜昌解放路步行街@埋点,ermalu,111.2791,30.6995,526736.9,3.3976875e+06,宜昌解放路步行街,购物服务,0.46,Neutral,0.05,其他,其他,,
e0032,xiling_wujia,xiaohongshu,2025-09-20T15:49:08+08:00,2025-09-20T15:49:08+08:00,店员热情周到，购物体验好,"热情周到,店员,购物,体验",12,urban_renewal,service,期待,1.0,positive,1.0,medium,0.81,True,宜昌,relevant,交通设施服务,6,5,停车场相关,,T2,陶珠路停车场,ermalu,111.2766,30.6964,526502.94,3.3973498e+06,陶珠路停车场,交通设施服务,0.99,Very Positive,0.12,喜悦满意,喜悦满意,,
e0033,xiling_wujia,meituan,2025-09-19T19:40:39+08:00,2025-09-19T19:40:39+08:00,新修的滨江绿道走起来很舒服，规划得不错,"新修,绿道,滨江,舒服,不错",19,urban_operation,facility,喜爱,0.86,positive,0.86,high,0.93,True,宜昌,relevant,休闲娱乐,7,0,迪厅,,T2,夜上海舞厅,ermalu,111.28,30.6973,526828.6,3.3974485e+06,夜上海舞厅,休闲娱乐,0.83,Very Positive,0.19,喜悦满意,喜悦满意,,
e0034,xiling_wujia,dianping,2025-09-19T03:05:56+08:00,2025-09-19T03:05:56+08:00,普通水平,"普通,水平",4,urban_operation,service,中性,0.298,neutral,0.298,high,0.89,True,宜昌,relevant,金融保险服务,0,2,中国农业银行,,T2,宜昌解放路步行街@埋点,ermalu,111.2794,30.6985,526769.25,3.3975828e+06,中国农业银行(三峡西陵支行营业部),金融保险服务,0.43,Neutral,0.04,其他,其他,,
e0035,xiling_wujia,dianping,2025-10-01T18:27:46+08:00,2025-10-01T18:27:46+08:00,路边的树被乱砍，心疼,"乱砍,心疼,路边",10,urban_operation,environment,失望,1.0,negative,1.0,high,0.9,True,宜昌,relevant,休闲娱乐,13,8,酒吧,,T2,神话酒吧(大南门店),ermalu,111.2747,30.6982,526317.4,3.3975482e+06,神话酒吧(大南门店),休闲娱乐,0.01,Very Negative,0.1,不满抱怨,不满抱怨,,
e0036,xiling_wujia,meituan,2025-09-28T01:13:17+08:00,2025-09-28T01:13:17+08:00,这条路修好后通畅多了，赞,"修好,通畅,这条",12,urban_operation,facility,期待,1.0,positive,1.0,high,0.85,True,宜昌,relevant,休闲娱乐,0,4,酒吧,,T2,神话酒吧(大南门店),ermalu,111.2756,30.7011,526401.94,3.3978682e+06,神话酒吧(大南门店),休闲娱乐,0.94,Very Positive,0.12,喜悦满意,喜悦满意,,
e0037,xiling_wujia,meituan,2025-09-21T13:07:05+08:00,2025-09-21T13:07:05+08:00,公交站牌更新了，线路清楚多了,"公交站,线路,更新,清楚",14,urban_governance,facility,期待,0.66,positive,0.66,high,0.97,True,宜昌,relevant,风景名胜,1,4,公园,,T2,滨江公园,ermalu,111.2804,30.6931,526866.0,3.3969855e+06,滨江公园,风景名胜,0.73,Positive,0.14,喜悦满意,喜悦满意,,
e0038,xiling_wujia,12345,2025-09-19T16:22:54+08:00,2025-09-19T16:22:54+08:00,一般般,一般般,5,urban_operation,environment,中性,0.2,neutral,0.2,high,0.81,True,宜昌,relevant,交通设施服务,1,17,公共停车场,,T2,宜昌解放路步行街@埋点,ermalu,111.2796,30.699,526785.5,3.397639e+06,宜昌解放路步行街地下停车场,交通设施服务,0.5,Neutral,0.03,其他,其他,,
e0039,xiling_wujia,weibo,2025-09-15T17:28:33+08:00,2025-09-15T17:28:33+08:00,万达广场品牌全，逛着舒服,"万达,舒服,广场,品牌",12,urban_operation,service,期待,1.0,positive,1.0,low,0.87,True,宜昌,relevant,体育休闲服务,12,5,口腔医院,,T2,宜昌牙管家口腔(隆康路总院),ermalu,111.2878,30.6936,527574.25,3.3970435e+06,宜昌牙管家口腔(隆康路总院),体育休闲服务,0.98,Very Positive,0.12,喜悦满意,喜悦满意,,
e0040,xiling_wujia,dianping,2025-09-18T13:34:50+08:00,2025-09-18T13:34:50+08:00,这条路修好后通畅多了，赞,"修好,通畅,这条",12,urban_renewal,facility,满足,1.0,positive,1.0,high,0.85,True,宜昌,relevant,住宿服务,1,1,宾馆酒店,,T2,枫林宛酒店(宜昌解放路美食街滨江店),ermalu,111.2769,30.6984,526532.4,3.3975725e+06,枫林宛酒店(宜昌解放路美食街滨江店),住宿服务,0.94,Very Positive,0.12,喜悦满意,喜悦满意,,
e0041,xiling_wujia,meituan,2025-09-19T04:28:17+08:00,2025-09-19T04:28:17+08:00,一般水平,"水平,一般",4,urban_operation,service,中性,0.298,neutral,0.298,medium,0.85,True,宜昌,relevant,餐饮服务,5,0,特色/地方风味餐厅,,T2,二马路历史文化街区@埋点,ermalu,111.2799,30.6963,526818.06,3.397342e+06,花果牛魔王高品质烤牛肉,餐饮服务,0.43,Neutral,0.04,其他,其他,,
e0042,xiling_wujia,meituan,2025-09-30T13:11:56+08:00,2025-09-30T13:11:56+08:00,学校新换了课桌椅，孩子们开心,"课桌椅,新换,开心,学校,孩子",14,urban_renewal,service,喜爱,1.0,positive,1.0,high,0.98,True,宜昌,relevant,休闲娱乐,4,2,酒吧,,T2,Sober.醒Club酒吧,ermalu,111.2839,30.6943,527199.5,3.397119e+06,Sober.醒Club酒吧,休闲娱乐,0.99,Very Positive,0.14,喜悦满意,喜悦满意,,
e0043,xiling_wujia,xiaohongshu,2025-09-22T09:27:17+08:00,2025-09-22T09:27:17+08:00,普普通通,普普通通,4,urban_operation,facility,中性,0.2,neutral,0.2,medium,0.93,True,宜昌,relevant,住宿服务,6,2,宾馆酒店,,T2,宜昌丽锦快捷假日酒店,ermalu,111.2816,30.6977,526976.56,3.397497e+06,宜昌丽锦快捷假日酒店,住宿服务,0.5,Neutral,0.04,其他,其他,,
e0044,xiling_wujia,weibo,2025-09-15T01:04:25+08:00,2025-09-15T01:04:25+08:00,文创产品同质化严重，没意思,"文创,同质化,没意思,严重,产品",13,urban_renewal,culture,失望,0.91,negative,0.91,high,0.93,True,宜昌,relevant,住宿服务,4,3,宾馆酒店,,T2,宜昌丽锦快捷假日酒店,ermalu,111.2819,30.6988,527002.94,3.3976198e+06,宜昌丽锦快捷假日酒店,住宿服务,0.22,Negative,0.13,不满抱怨,不满抱怨,,
e0045,xiling_wujia,meituan,2025-09-30T15:05:33+08:00,2025-09-30T15:05:33+08:00,街区夜景漂亮，适合打卡,"打卡,夜景,街区,漂亮,适合",11,urban_governance,culture,满足,1.0,positive,1.0,low,0.8,True,宜昌,relevant,交通设施服务,7,1,公交车站相关,,T2,解放路(公交站),ermalu,111.2801,30.698,526834.5,3.3975268e+06,解放路(公交站),交通设施服务,0.98,Very Positive,0.11,喜悦满意,喜悦满意,,
e0046,xiling_wujia,dianping,2025-10-03T20:00:52+08:00,2025-10-03T20:00:52+08:00,感觉一般,"感觉,一般",4,urban_renewal,service,中性,0.27,neutral,0.27,high,0.94,True,宜昌,relevant,金融保险服务,4,1,中国农业银行,,T2,宜昌解放路步行街@埋点,ermalu,111.2798,30.6985,526808.7,3.39758e+06,中国农业银行(三峡西陵支行营业部),金融保险服务,0.55,Neutral,0.04,其他,其他,,
e0047,xiling_wujia,meituan,2025-09-17T03:39:52+08:00,2025-09-17T03:39:52+08:00,没什么特别,"没什么,特别",5,urban_planning,event,中性,0.256,neutral,0.256,high,0.91,True,宜昌,relevant,生活服务,10,6,电力营业厅,,T2,宜昌市国家电网供电局,ermalu,111.2843,30.6935,527234.06,3.3970248e+06,宜昌市国家电网供电局,生活服务,0.46,Neutral,0.05,其他,其他,,
e0048,xiling_wujia,dianping,2025-10-01T14:27:41+08:00,2025-10-01T14:27:41+08:00,物业不作为，投诉没人理,"人理,投诉,物业,作为",11,urban_operation,service,愤怒,1.0,negative,1.0,low,0.83,True,宜昌,relevant,交通设施服务,1,1,公交车站相关,,T2,解放路(公交站),ermalu,111.2805,30.6972,526877.25,3.3974425e+06,解放路(公交站),交通设施服务,0.0,Very Negative,0.11,不满抱怨,不满抱怨,,
e0049,xiling_wujia,12345,2025-10-04T04:58:46+08:00,2025-10-04T04:58:46+08:00,新修的滨江绿道走起来很舒服，规划得不错,"新修,绿道,滨江,舒服,不错",19,urban_governance,facility,喜爱,0.86,positive,0.86,high,0.96,True,宜昌,relevant,交通设施服务,18,0,公交车站相关,,T2,一马路(公交站),ermalu,111.2849,30.6918,527299.94,3.3968408e+06,一马路(公交站),交通设施服务,0.83,Very Positive,0.19,喜悦满意,喜悦满意,,
e0050,xiling_wujia,xiaohongshu,2025-09-15T04:09:45+08:00,2025-09-15T04:09:45+08:00,博物馆展览内容丰富，值得一看,"值得一看,展览,博物馆,丰富,内容",14,urban_governance,culture,满足,1.0,positive,1.0,low,0.88,True,宜昌,relevant,休闲娱乐,13,3,酒吧,,T2,Nine.籁Whisky&cocktail bar,ermalu,111.2823,30.6936,527042.25,3.3970378e+06,Nine.籁Whisky&cocktail bar,休闲娱乐,0.96,Very Positive,0.14,喜悦满意,喜悦满意,,
e0051,xiling_wujia,dianping,2025-09-23T04:53:34+08:00,2025-09-23T04:53:34+08:00,这条路修好后通畅多了，赞,"修好,通畅,这条",12,urban_governance,facility,期待,1.0,positive,1.0,high,0.89,True,宜昌,relevant,科教文化服务,4,0,文化宫,,T2,宜昌市工人文化宫,ermalu,111.2866,30.6959,527461.9,3.3972898e+06,宜昌市工人文化宫,科教文化服务,0.94,Very Positive,0.12,喜悦满意,喜悦满意,,
e0052,xiling_wujia,dianping,2025-09-18T20:54:07+08:00,2025-09-18T20:54:07+08:00,营业十二小时,"十二,营业,小时",13,urban_operation,facility,好奇,0.242,neutral,0.242,medium,0.79,True,宜昌,relevant,休闲娱乐,14,2,酒吧,,T2,二马路历史文化街区@埋点,ermalu,111.2802,30.6954,526846.9,3.3972432e+06,山丘酒吧,休闲娱乐,0.47,Neutral,0.06,其他,其他,,
e0053,xiling_wujia,dianping,2025-09-26T00:55:10+08:00,2025-09-26T00:55:10+08:00,公厕翻新后干净整洁，维护得很好,"公厕,翻新,整洁,干净,维护",15,urban_renewal,facility,喜爱,1.0,positive,1.0,low,0.86,True,宜昌,relevant,住宿服务,7,6,宾馆酒店,,T2,宜昌丽锦快捷假日酒店,ermalu,111.2815,30.6997,526971.5,3.3977148e+06,宜昌丽锦快捷假日酒店,住宿服务,0.93,Very Positive,0.15,喜悦满意,喜悦满意,,
e0054,xiling_wujia,meituan,2025-10-03T14:37:01+08:00,2025-10-03T14:37:01+08:00,施工噪音半夜还在响，扰民,"扰民,噪音,半夜,施工",12,urban_operation,facility,愤怒,1.0,negative,1.0,high,0.9,True,宜昌,relevant,休闲娱乐,4,2,酒吧,,T2,Nine.籁Whisky&cocktail bar,ermalu,111.2816,30.6936,526979.25,3.3970348e+06,Nine.籁Whisky&cocktail bar,休闲娱乐,0.01,Very Negative,0.12,失望厌恶,失望厌恶,,
e0055,xiling_wujia,weibo,2025-09-17T12:32:48+08:00,2025-09-17T12:32:48+08:00,剧院演出水准很高，推荐,"水准,剧院,演出,推荐",11,urban_governance,culture,期待,1.0,positive,1.0,medium,0.82,True,宜昌,relevant,政府机构及社会团体,10,8,地市级政府及事业单位,,T2,宜昌市人民政府,ermalu,111.2824,30.6948,527052.06,3.3971745e+06,宜昌市人民政府,政府机构及社会团体,0.99,Very Positive,0.11,喜悦满意,喜悦满意,,
e0056,xiling_wujia,dianping,2025-09-18T23:22:24+08:00,2025-09-18T23:22:24+08:00,普普通通,普普通通,4,urban_operation,event,中性,0.2,neutral,0.2,medium,0.82,True,宜昌,relevant,科教文化服务,0,0,中学,,T2,宜昌市五中,ermalu,111.2842,30.6941,527226.06,3.39709e+06,宜昌市五中,科教文化服务,0.5,Neutral,0.04,其他,其他,,
e0057,xiling_wujia,dianping,2025-10-04T15:07:14+08:00,2025-10-04T15:07:14+08:00,营业十二小时,"十二,营业,小时",6,urban_operation,service,中性,0.242,neutral,0.242,low,0.96,True,宜昌,relevant,体育休闲服务,15,0,药房,,T2,圆心大药房(宜昌第一人民医院店),ermalu,111.2846,30.6973,527266.25,3.397444e+06,圆心大药房(宜昌第一人民医院店),体育休闲服务,0.47,Neutral,0.06,其他,其他,,
e0058,xiling_wujia,xiaohongshu,2025-09-18T10:41:57+08:00,2025-09-18T10:41:57+08:00,办事大厅工作人员态度冷漠,"冷漠,大厅,办事,工作人员,态度",12,urban_operation,service,失望,0.76,negative,0.76,low,0.93,True,宜昌,relevant,休闲娱乐,10,9,酒吧,,T2,Nine.籁Whisky&cocktail bar,ermalu,111.2817,30.6935,526989.94,3.3970268e+06,Nine.籁Whisky&cocktail bar,休闲娱乐,0.22,Negative,0.12,不满抱怨,不满抱怨,,
e0059,xiling_wujia,meituan,2025-09-25T21:13:11+08:00,2025-09-25T21:13:11+08:00,快递丢件了客服推诿扯皮,"丢件,扯皮,快递,推诿,客服",11,urban_operation,service,愤怒,1.0,negative,1.0,low,0.82,True,宜昌,relevant,住宿服务,7,3,宾馆酒店,,T2,宜昌丽锦快捷假日酒店,ermalu,111.2812,30.699,526941.5,3.397635e+06,宜昌丽锦快捷假日酒店,住宿服务,0.01,Very Negative,0.11,不满抱怨,不满抱怨,,
