id_e,scope,source,created_at,publish_time,text,keywords,text_length,domain,element,primary_emotion,emotion_intensity,polarity_hint,intensity,urban_value,l1_confidence,has_location,location_mentioned,relevance,relevance_category,like_count,comment_count,tags,url,time_label,area_seed,area_tag,zone,lon,lat,x_cgcs2000,y_cgcs2000,spatial_hotspot,spatial_type,score,polarity,l2_confidence,emotion_type,category,target_type,target_detail
e0011,xiling_wujia,dianping,2026-05-03T19:09:38+08:00,2026-05-03T19:09:38+08:00,大南门滨江配老街看江景，绝了,"大南门,江景,老街,滨江",14,urban_governance,facility,满足,0.7,positive,0.7,high,0.911,True,宜昌,relevant,交通设施服务,9,2,公交车站相关,,T3,市政府(公交站),ermalu,ermalu_oldstreet,111.28,30.694,526828.2,3.3970792e+06,市政府(公交站),交通设施服务,0.75,Positive,0.14,怀旧认同,怀旧认同,,
e0012,xiling_wujia,dianping,2026-05-01T14:56:32+08:00,2026-05-01T14:56:32+08:00,二马路那边人挺多的,"二马路,那边",9,urban_operation,service,好奇,0.26,neutral,0.26,medium,0.92,True,宜昌,relevant,住宿服务,6,5,宾馆酒店,,T3,枫林宛酒店(宜昌解放路美食街滨江店),ermalu,ermalu_oldstreet,111.2776,30.6999,526593.94,3.3977382e+06,枫林宛酒店(宜昌解放路美食街滨江店),住宿服务,0.53,Neutral,0.09,其他,其他,,
e0013,xiling_wujia,dianping,2026-05-06T00:56:42+08:00,2026-05-06T00:56:42+08:00,夜市开市了，烟火气十足，热闹,"夜市,烟火,十足,开市,热闹",14,urban_operation,event,满足,1.0,positive,1.0,high,0.934,True,宜昌,relevant,体育休闲服务,1,4,药房,,T3,圆心大药房(宜昌第一人民医院店),ermalu,general,111.2855,30.697,527350.1,3.3974118e+06,圆心大药房(宜昌第一人民医院店),体育休闲服务,0.96,Very Positive,0.14,喜悦满意,喜悦满意,,
e0014,xiling_wujia,12345,2026-05-03T09:37:49+08:00,2026-05-03T09:37:49+08:00,红星路夜市烟火气十足，必须打卡,"红星路,打卡,夜市,烟火,十足",15,urban_operation,service,喜爱,0.94,positive,0.94,high,0.96,True,宜昌,relevant,购物服务,1,0,特色商业街,,T3,二马路历史文化街区@埋点,ermalu,ermalu_oldstreet,111.2803,30.6958,526858.25,3.3972838e+06,二马路历史文化街区,购物服务,0.87,Very Positive,0.15,喜悦满意,喜悦满意,,
e0015,xiling_wujia,meituan,2026-05-02T08:24:42+08:00,2026-05-02T08:24:42+08:00,二马路那边人挺多的,"二马路,那边",9,urban_operation,culture,好奇,0.26,neutral,0.26,medium,0.935,True,宜昌,relevant,科教文化服务,8,1,中学,,T3,宜昌市五中,ermalu,ermalu_oldstreet,111.2842,30.6946,527229.56,3.3971468e+06,宜昌市五中,科教文化服务,0.53,Neutral,0.09,其他,其他,,
e0016,xiling_wujia,dianping,2026-05-02T08:20:53+08:00,2026-05-02T08:20:53+08:00,没什么亮点,"亮点,没什么",5,urban_governance,facility,中性,0.284,neutral,0.284,medium,0.887,True,宜昌,relevant,交通设施服务,10,2,公共停车场,,T3,滨江公园地面停车场,ermalu,riverside,111.2831,30.692,527124.9,3.3968622e+06,滨江公园地面停车场,交通设施服务,0.44,Neutral,0.05,其他,其他,,
e0017,xiling_wujia,dianping,2026-05-02T17:30:03+08:00,2026-05-02T17:30:03+08:00,学校新换了课桌椅，孩子们开心,"课桌椅,新换,开心,学校,孩子",13,urban_operation,service,喜爱,1.0,positive,1.0,high,0.988,True,宜昌,relevant,餐饮服务,5,1,特色/地方风味餐厅,,T3,花果牛魔王高品质烤牛肉@埋点,ermalu,ermalu_oldstreet,111.2803,30.6966,526858.44,3.3973758e+06,花果牛魔王高品质烤牛肉,餐饮服务,0.99,Very Positive,0.14,喜悦满意,喜悦满意,,
e0018,xiling_wujia,xiaohongshu,2026-05-05T03:12:39+08:00,2026-05-05T03:12:39+08:00,解放路步行街逛着舒服，老字号都回来了,"解放路,步行街,老字号,舒服,回来",18,urban_renewal,environment,喜爱,1.0,positive,1.0,high,0.92,True,宜昌,relevant,商务住宅,2,6,住宅小区,,T3,紫晶城天御,ermalu,ermalu_oldstreet,111.2777,30.6978,526602.6,3.397501e+06,紫晶城天御,商务住宅,0.99,Very Positive,0.18,怀旧认同,怀旧认同,,
e0019,xiling_wujia,meituan,2026-05-04T23:57:04+08:00,2026-05-04T23:57:04+08:00,城区绿化提升明显，舒服,"绿化,城区,舒服,提升,明显",11,urban_operation,service,喜爱,1.0,positive,1.0,low,0.893,True,宜昌,relevant,金融保险服务,1,2,银行,,T3,湖北银行(南湖支行),ermalu,general,111.287,30.6927,527494.06,3.3969365e+06,湖北银行(南湖支行),金融保险服务,0.99,Very Positive,0.11,期待建议,期待建议,,
e0020,xiling_wujia,dianping,2026-05-04T11:39:07+08:00,2026-05-04T11:39:07+08:00,二马路开街后人气回来了，热闹得像过年,"开街,二马路,过年,人气,热闹",18,urban_operation,event,期待,0.5,positive,0.5,low,0.933,True,宜昌,relevant,休闲娱乐,11,2,迪厅,,T3,夜上海舞厅,ermalu,ermalu_oldstreet,111.2791,30.6974,526734.6,3.3974588e+06,夜上海舞厅,休闲娱乐,0.65,Positive,0.18,其他,其他,,
e0021,xiling_wujia,12345,2026-05-04T22:07:07+08:00,2026-05-04T22:07:07+08:00,红星路夜市烟火气十足，必须打卡,"红星路,打卡,夜市,烟火,十足",15,urban_operation,culture,满足,0.94,positive,0.94,medium,0.856,True,宜昌,relevant,科教文化服务,10,2,中学,,T3,宜昌市五中,ermalu,ermalu_oldstreet,111.2851,30.6945,527318.75,3.397138e+06,宜昌市五中,科教文化服务,0.87,Very Positive,0.15,喜悦满意,喜悦满意,,
e0022,xiling_wujia,xiaohongshu,2026-05-02T21:55:22+08:00,2026-05-02T21:55:22+08:00,二马路开街垃圾满地没人扫,"开街,二马路,满地,垃圾,没人",12,urban_operation,event,愤怒,0.98,negative,0.98,medium,0.845,True,宜昌,relevant,休闲娱乐,2,4,酒吧,,T3,神话酒吧(大南门店),ermalu,ermalu_oldstreet,111.2758,30.6994,526418.56,3.397682e+06,神话酒吧(大南门店),休闲娱乐,0.11,Very Negative,0.12,不满抱怨,不满抱怨,,
e0023,xiling_wujia,xiaohongshu,2026-05-01T21:50:27+08:00,2026-05-01T21:50:27+08:00,西陵这边生活方便，喜欢,"西陵,这边,方便,喜欢,生活",11,urban_operation,event,喜爱,1.0,positive,1.0,high,0.818,True,宜昌,relevant,体育休闲服务,0,1,药房,,T3,圆心大药房(宜昌第一人民医院店),ermalu,general,111.2839,30.698,527201.0,3.3975272e+06,圆心大药房(宜昌第一人民医院店),体育休闲服务,0.9,Very Positive,0.11,喜悦满意,喜悦满意,,
e0024,xiling_wujia,dianping,2026-05-01T21:53:50+08:00,2026-05-01T21:53:50+08:00,窗口排队两小时，办事效率太低,"办事效率,太低,排队,窗口,小时",14,urban_operation,service,愤怒,1.0,negative,1.0,medium,0.911,True,宜昌,relevant,金融保险服务,4,0,中国农业银行,,T3,中国农业银行(三峡西陵支行营业部),ermalu,ermalu_oldstreet,111.2795,30.6977,526779.1,3.3974932e+06,中国农业银行(三峡西陵支行营业部),金融保险服务,0.04,Very Negative,0.14,不满抱怨,不满抱怨,,
e0025,xiling_wujia,dianping,2026-05-01T16:57:27+08:00,2026-05-01T16:57:27+08:00,店员热情周到，购物体验好,"热情周到,店员,购物,体验",14,urban_operation,service,满足,1.0,positive,1.0,high,0.99,True,宜昌,relevant,金融保险服务,2,2,中国工商银行,,T3,阿杜菜馆@埋点,ermalu,ermalu_oldstreet,111.282,30.6967,527013.9,3.3973852e+06,中国工商银行(三峡云集支行),金融保险服务,0.99,Very Positive,0.12,喜悦满意,喜悦满意,,
e0026,xiling_wujia,xiaohongshu,2026-05-01T17:06:02+08:00,2026-05-01T17:06:02+08:00,大南门改造完很有老宜昌味道，喜欢,"大南门,宜昌,味道,改造,喜欢",14,urban_operation,service,满足,0.76,positive,0.76,medium,0.934,True,宜昌,relevant,生活服务,5,2,美容美发店,,T3,把把烧(恒大步行街店)@埋点,ermalu,ermalu_oldstreet,111.2789,30.6983,526718.25,3.3975585e+06,季域足道·采耳·SPA(陶珠路店),生活服务,0.78,Positive,0.16,期待建议,期待建议,,
e0027,xiling_wujia,weibo,2026-05-05T05:11:33+08:00,2026-05-05T05:11:33+08:00,二马路开街后人气回来了，热闹得像过年,"开街,二马路,过年,人气,热闹",18,urban_operation,event,满足,0.5,positive,0.5,medium,0.93,True,宜昌,relevant,体育休闲服务,5,0,诊所,,T3,刘勇中医诊所,ermalu,ermalu_oldstreet,111.279,30.6957,526726.0,3.3972678e+06,刘勇中医诊所,体育休闲服务,0.65,Positive,0.18,其他,其他,,
e0028,xiling_wujia,meituan,2026-05-05T18:31:48+08:00,2026-05-05T18:31:48+08:00,红星路夜市噪音扰民，半夜还吵,"红星路,还吵,扰民,夜市,噪音",14,urban_operation,event,愤怒,1.0,negative,1.0,high,0.873,True,宜昌,relevant,休闲娱乐,2,4,酒吧,,T3,神话酒吧(大南门店),ermalu,ermalu_oldstreet,111.2757,30.6995,526413.3,3.3976928e+06,神话酒吧(大南门店),休闲娱乐,0.01,Very Negative,0.14,失望厌恶,失望厌恶,,
e0029,xiling_wujia,dianping,2026-05-06T15:35:15+08:00,2026-05-06T15:35:15+08:00,这段路烂得不像话，半年没人修,"没人修,不像话,这段,半年",14,urban_operation,service,愤怒,1.0,negative,1.0,high,0.816,True,宜昌,relevant,金融保险服务,2,5,银行,,T3,湖北银行(南湖支行),ermalu,general,111.2877,30.6934,527561.8,3.3970168e+06,湖北银行(南湖支行),金融保险服务,0.02,Very Negative,0.14,不满抱怨,不满抱怨,,
e0030,xiling_wujia,meituan,2026-05-06T00:42:19+08:00,2026-05-06T00:42:19+08:00,物业服务到位，响应及时,"服务到位,响应,物业,及时",11,urban_operation,service,喜爱,0.56,positive,0.56,low,0.801,True,宜昌,relevant,住宿服务,3,1,宾馆酒店,,T3,枫林宛酒店(宜昌解放路美食街滨江店),ermalu,ermalu_oldstreet,111.2772,30.701,526558.2,3.3978585e+06,枫林宛酒店(宜昌解放路美食街滨江店),住宿服务,0.68,Positive,0.11,不满抱怨,不满抱怨,,
e0031,xiling_wujia,dianping,2026-05-01T05:25:57+08:00,2026-05-01T05:25:57+08:00,营业十二小时,"十二,营业,小时",6,urban_operation,event,中性,0.242,neutral,0.242,high,0.989,True,宜昌,relevant,休闲娱乐,6,3,网吧,,T3,奥汀电竞,ermalu,ermalu_oldstreet,111.2812,30.6953,526939.8,3.3972232e+06,奥汀电竞,休闲娱乐,0.47,Neutral,0.06,其他,其他,,
e0032,xiling_wujia,meituan,2026-05-02T17:44:08+08:00,2026-05-02T17:44:08+08:00,二马路春节人多挤死了，寸步难行,"二马路,挤死,寸步难行,人多,春节",15,urban_governance,facility,失望,0.78,negative,0.78,medium,0.831,True,宜昌,relevant,交通设施服务,0,2,停车场相关,,T3,陶珠路停车场,ermalu,ermalu_oldstreet,111.2772,30.696,526560.94,3.3972982e+06,陶珠路停车场,交通设施服务,0.21,Negative,0.15,不满抱怨,不满抱怨,,
e0033,xiling_wujia,weibo,2026-05-06T06:00:58+08:00,2026-05-06T06:00:58+08:00,大南门改造完很有老宜昌味道，喜欢,"大南门,宜昌,味道,改造,喜欢",14,urban_operation,service,喜爱,0.76,positive,0.76,medium,0.99,True,宜昌,relevant,购物服务,9,0,特色商业街,,T3,二马路历史文化街区@埋点,ermalu,ermalu_oldstreet,111.2806,30.6959,526886.56,3.3972945e+06,二马路历史文化街区,购物服务,0.78,Positive,0.16,期待建议,期待建议,,
e0034,xiling_wujia,meituan,2026-05-01T06:45:45+08:00,2026-05-01T06:45:45+08:00,大南门改造完很有老宜昌味道，喜欢,"大南门,宜昌,味道,改造,喜欢",16,urban_operation,event,期待,0.76,positive,0.76,high,0.99,True,宜昌,relevant,休闲娱乐,0,0,网吧,,T3,奥汀电竞,ermalu,ermalu_oldstreet,111.2813,30.6955,526948.06,3.3972482e+06,奥汀电竞,休闲娱乐,0.78,Positive,0.16,期待建议,期待建议,,
e0035,xiling_wujia,weibo,2026-05-06T14:21:52+08:00,2026-05-06T14:21:52+08:00,解放路一带焕新后很有活力,"焕新后,解放路,活力,一带",12,urban_governance,facility,喜爱,1.0,positive,1.0,high,0.943,True,宜昌,relevant,交通设施服务,5,0,公共停车场,,T3,宜昌解放路步行街地下停车场,ermalu,ermalu_oldstreet,111.2809,30.6993,526913.8,3.3976732e+06,宜昌解放路步行街地下停车场,交通设施服务,0.96,Very Positive,0.12,喜悦满意,喜悦满意,,
e0036,xiling_wujia,dianping,2026-05-02T19:12:07+08:00,2026-05-02T19:12:07+08:00,没什么亮点,"亮点,没什么",5,urban_operation,culture,中性,0.284,neutral,0.284,high,0.884,True,宜昌,relevant,科教文化服务,5,2,文化宫,,T3,宜昌市工人文化宫,ermalu,general,111.2865,30.6973,527452.5,3.3974525e+06,宜昌市工人文化宫,科教文化服务,0.44,Neutral,0.05,其他,其他,,
e0037,xiling_wujia,12345,2026-05-04T04:11:50+08:00,2026-05-04T04:11:50+08:00,这片城区配套越来越完善了,"这片,城区,配套,完善,越来越",12,urban_operation,service,期待,1.0,positive,1.0,low,0.931,True,宜昌,relevant,科教文化服务,8,0,文化宫,,T3,宜昌市工人文化宫,ermalu,general,111.2865,30.6974,527446.44,3.3974608e+06,宜昌市工人文化宫,科教文化服务,0.94,Very Positive,0.12,期待建议,期待建议,,
e0038,xiling_wujia,weibo,2026-05-01T02:03:04+08:00,2026-05-01T02:03:04+08:00,红星路夜市烟火气十足，必须打卡,"红星路,打卡,夜市,烟火,十足",15,urban_governance,facility,期待,0.94,positive,0.94,medium,0.96,True,宜昌,relevant,交通设施服务,4,4,公交车站相关,,T3,解放路(公交站),ermalu,ermalu_oldstreet,111.2799,30.698,526814.56,3.3975205e+06,解放路(公交站),交通设施服务,0.87,Very Positive,0.15,喜悦满意,喜悦满意,,
e0039,xiling_wujia,xiaohongshu,2026-05-02T12:14:26+08:00,2026-05-02T12:14:26+08:00,解放路一带焕新后很有活力,"焕新后,解放路,活力,一带",14,urban_operation,event,满足,1.0,positive,1.0,medium,0.99,True,宜昌,relevant,休闲娱乐,11,6,网吧,,T3,二马路历史文化街区@埋点,ermalu,ermalu_oldstreet,111.281,30.6954,526923.6,3.3972385e+06,奥汀电竞,休闲娱乐,0.96,Very Positive,0.12,喜悦满意,喜悦满意,,
e0040,xiling_wujia,meituan,2026-05-04T03:29:15+08:00,2026-05-04T03:29:15+08:00,大南门滨江配老街看江景，绝了,"大南门,江景,老街,滨江",14,urban_operation,service,喜爱,0.7,positive,0.7,high,0.939,True,宜昌,relevant,住宿服务,12,0,宾馆酒店,,T3,宜昌丽锦快捷假日酒店,ermalu,ermalu_oldstreet,111.2815,30.6976,526971.7,3.3974818e+06,宜昌丽锦快捷假日酒店,住宿服务,0.75,Positive,0.14,怀旧认同,怀旧认同,,
e0041,xiling_wujia,dianping,2026-05-05T16:52:06+08:00,2026-05-05T16:52:06+08:00,二马路文创市集热闹又有创意，点赞,"文创,点赞,二马路,市集,创意",16,urban_operation,culture,期待,1.0,positive,1.0,high,0.963,True,宜昌,relevant,生活服务,17,6,电力营业厅,,T3,宜昌市国家电网供电局,ermalu,ermalu_oldstreet,111.2848,30.6933,527289.5,3.3970072e+06,宜昌市国家电网供电局,生活服务,1.0,Very Positive,0.16,喜悦满意,喜悦满意,,
e0042,xiling_wujia,dianping,2026-05-05T19:51:24+08:00,2026-05-05T19:51:24+08:00,二马路施工围挡还在，走路不方便,"二马路,围挡,走路,施工,方便",15,urban_governance,service,失望,0.86,negative,0.86,medium,0.915,True,宜昌,relevant,政府机构及社会团体,10,2,地市级政府及事业单位,,T3,宜昌市人民政府,ermalu,ermalu_oldstreet,111.2809,30.6943,526912.6,3.3971138e+06,宜昌市人民政府,政府机构及社会团体,0.17,Very Negative,0.15,不满抱怨,不满抱怨,,
e0043,xiling_wujia,xiaohongshu,2026-05-03T04:59:48+08:00,2026-05-03T04:59:48+08:00,滨江步道修好后遛弯舒服多了,"遛弯,滨江,修好,舒服",13,urban_governance,facility,喜爱,1.0,positive,1.0,medium,0.868,True,宜昌,relevant,交通设施服务,15,5,公共停车场,,T3,滨江公园地面停车场,ermalu,riverside,111.2833,30.6918,527142.4,3.3968415e+06,滨江公园地面停车场,交通设施服务,0.9,Very Positive,0.13,喜悦满意,喜悦满意,,
e0044,xiling_wujia,weibo,2026-05-04T03:12:03+08:00,2026-05-04T03:12:03+08:00,新修的滨江绿道走起来很舒服，规划得不错,"新修,绿道,滨江,舒服,不错",12,urban_governance,facility,满足,0.86,positive,0.86,low,0.925,True,宜昌,relevant,交通设施服务,0,3,公共停车场,,T3,宜昌解放路步行街@埋点,ermalu,ermalu_oldstreet,111.2796,30.6988,526787.1,3.397619e+06,宜昌解放路步行街地下停车场,交通设施服务,0.83,Very Positive,0.19,喜悦满意,喜悦满意,,
e0045,xiling_wujia,dianping,2026-05-05T21:31:23+08:00,2026-05-05T21:31:23+08:00,大南门改造完很有老宜昌味道，喜欢,"大南门,宜昌,味道,改造,喜欢",18,urban_operation,service,期待,0.76,positive,0.76,low,0.954,True,宜昌,relevant,餐饮服务,5,5,中餐厅,,T3,瑜儿腊货馆@埋点,ermalu,ermalu_oldstreet,111.2842,30.6958,527232.0,3.3972838e+06,瑜儿腊货馆,餐饮服务,0.78,Positive,0.16,期待建议,期待建议,,
e0046,xiling_wujia,xiaohongshu,2026-05-03T14:35:46+08:00,2026-05-03T14:35:46+08:00,二马路施工围挡还在，走路不方便,"二马路,围挡,走路,施工,方便",15,urban_operation,facility,失望,0.86,negative,0.86,high,0.955,True,宜昌,relevant,交通设施服务,15,0,公交车站相关,,T3,解放路(公交站),ermalu,ermalu_oldstreet,111.28,30.6975,526824.6,3.3974732e+06,解放路(公交站),交通设施服务,0.17,Very Negative,0.15,不满抱怨,不满抱怨,,
e0047,xiling_wujia,dianping,2026-05-05T08:03:14+08:00,2026-05-05T08:03:14+08:00,文化设施破旧失修，令人失望,"失修,破旧,失望,设施,令人",13,urban_operation,culture,愤怒,1.0,negative,1.0,low,0.924,True,宜昌,relevant,科教文化服务,16,2,文化宫,,T3,宜昌市工人文化宫,ermalu,general,111.2863,30.6964,527430.7,3.3973532e+06,宜昌市工人文化宫,科教文化服务,0.05,Very Negative,0.13,失望厌恶,失望厌恶,,
e0048,xiling_wujia,xiaohongshu,2026-05-06T14:09:39+08:00,2026-05-06T14:09:39+08:00,大南门改造完很有老宜昌味道，喜欢,"大南门,宜昌,味道,改造,喜欢",16,urban_governance,facility,期待,0.76,positive,0.76,medium,0.911,True,宜昌,relevant,交通设施服务,5,5,公交车站相关,,T3,解放路(公交站),ermalu,ermalu_oldstreet,111.2802,30.6977,526839.94,3.3974938e+06,解放路(公交站),交通设施服务,0.78,Positive,0.16,期待建议,期待建议,,
e0049,xiling_wujia,meituan,2026-05-04T06:07:14+08:00,2026-05-04T06:07:14+08:00,二马路开街垃圾满地没人扫,"开街,二马路,满地,垃圾,没人",12,urban_governance,facility,愤怒,0.98,negative,0.98,low,0.856,True,宜昌,relevant,交通设施服务,10,0,公交车站相关,,T3,一马路(公交站),ermalu,ermalu_oldstreet,111.284,30.6925,527209.9,3.3969138e+06,一马路(公交站),交通设施服务,0.11,Very Negative,0.12,不满抱怨,不满抱怨,,
e0050,xiling_wujia,weibo,2026-05-01T17:08:41+08:00,2026-05-01T17:08:41+08:00,美食节种类丰富，逛得开心,"美食节,逛得,开心,种类,丰富",12,urban_operation,event,喜爱,1.0,positive,1.0,high,0.934,True,宜昌,relevant,休闲娱乐,4,3,酒吧,,T3,ANOTHERLIFE来生·咖啡清吧,ermalu,ermalu_oldstreet,111.2791,30.6965,526741.75,3.3973645e+06,ANOTHERLIFE来生·咖啡清吧,休闲娱乐,0.85,Very Positive,0.12,喜悦满意,喜悦满意,,
e0051,xiling_wujia,12345,2026-05-01T07:22:07+08:00,2026-05-01T07:22:07+08:00,二马路施工围挡还在，走路不方便,"二马路,围挡,走路,施工,方便",15,urban_operation,service,失望,0.86,negative,0.86,medium,0.979,True,宜昌,relevant,公司企业,3,0,公司,,T3,国家电网湖北省电力公司宜昌供电公司,ermalu,ermalu_oldstreet,111.2838,30.693,527188.8,3.3969722e+06,国家电网湖北省电力公司宜昌供电公司,公司企业,0.17,Very Negative,0.15,不满抱怨,不满抱怨,,
e0052,xiling_wujia,meituan,2026-05-01T13:18:22+08:00,2026-05-01T13:18:22+08:00,小区绿化维护得好，住着舒心,"舒心,绿化,小区,维护",13,urban_operation,environment,喜爱,0.88,positive,0.88,low,0.923,True,宜昌,relevant,体育休闲服务,29,2,诊所,,T3,刘勇中医诊所,ermalu,ermalu_oldstreet,111.2781,30.6957,526645.6,3.3972672e+06,刘勇中医诊所,体育休闲服务,0.84,Very Positive,0.13,喜悦满意,喜悦满意,,
e0053,xiling_wujia,meituan,2026-05-05T18:35:25+08:00,2026-05-05T18:35:25+08:00,店员热情周到，购物体验好,"热情周到,店员,购物,体验",12,urban_operation,service,喜爱,1.0,positive,1.0,medium,0.913,True,宜昌,relevant,金融保险服务,7,2,中国工商银行,,T3,中国工商银行(三峡云集支行),ermalu,general,111.2824,30.6978,527053.5,3.3975e+06,中国工商银行(三峡云集支行),金融保险服务,0.99,Very Positive,0.12,喜悦满意,喜悦满意,,
e0054,xiling_wujia,dianping,2026-05-04T23:23:06+08:00,2026-05-04T23:23:06+08:00,解放路一带焕新后很有活力,"焕新后,解放路,活力,一带",12,urban_renewal,facility,喜爱,1.0,positive,1.0,high,0.874,True,宜昌,relevant,交通设施服务,5,0,公交车站相关,,T3,市政府(公交站),ermalu,ermalu_oldstreet,111.2798,30.6939,526811.5,3.397075e+06,市政府(公交站),交通设施服务,0.96,Very Positive,0.12,喜悦满意,喜悦满意,,
e0055,xiling_wujia,xiaohongshu,2026-05-03T18:44:59+08:00,2026-05-03T18:44:59+08:00,物业服务到位，响应及时,"服务到位,响应,物业,及时",11,urban_operation,service,喜爱,0.56,positive,0.56,high,0.861,True,宜昌,relevant,住宿服务,4,2,宾馆酒店,,T3,宜昌丽锦快捷假日酒店,ermalu,general,111.2826,30.698,527072.5,3.3975288e+06,宜昌丽锦快捷假日酒店,住宿服务,0.68,Positive,0.11,不满抱怨,不满抱怨,,
