id_e,scope,source,text,keywords,domain,element,score,polarity,polarity_hint,emotion_intensity,l1_confidence,l2_confidence,emotion_type,category,timestamp,time_label,urban_value,target_type,target_detail,area_tag,zone,has_location,relevance,aspect_primary,aspect_polarity,aspects_json,semantic_target,policy_seed,project_seed,matrix_multi,attribution_confidence,blind_spot,lon,lat
ermawu_T1_00010,ermawu,sim_ermawu_l3l4,施工绕行太麻烦,施工扰民,urban_governance,环境,0.332,Negative,neg,0.669,0.772,0.729,愁,历史街区,2025-02-04,2025-02 春节·二马路一期开街爆满,0.466,aspect,施工扰民,ermawu,ermawu,1,1,施工扰民,neg,"[""施工扰民""]",施工扰民,城市体检评估管理办法(施工期扰民),老旧小区改造;施工组织优化,"[[""urban_governance"", ""环境"", ""主""], [""urban_renewal"", ""设施"", ""次""]]",0.839,0,111.28648,30.695422
ermawu_T1_00011,ermawu,sim_ermawu_l3l4,施工绕行太麻烦,施工扰民,urban_governance,环境,0.171,Very Negative,neg,0.767,0.741,0.839,怒,历史街区,2025-02-07,2025-02 春节·二马路一期开街爆满,0.728,aspect,施工扰民,ermawu,ermawu,1,1,施工扰民,neg,"[""施工扰民""]",施工扰民,城市体检评估管理办法(施工期扰民),老旧小区改造;施工组织优化,"[[""urban_governance"", ""环境"", ""主""], [""urban_renewal"", ""设施"", ""次""]]",0.706,0,111.283178,30.692057
ermawu_T1_00012,ermawu,sim_ermawu_l3l4,业态单一，逛一次就够,业态丰富度,urban_operation,服务,0.109,Very Negative,neg,0.771,0.788,0.707,哀,历史街区,2025-02-01,2025-02 春节·二马路一期开街爆满,0.724,aspect,业态丰富度,ermawu,ermawu,1,1,业态丰富度,neg,"[""业态丰富度""]",业态丰富度,关于持续推进城市更新行动的意见(业态引导),业态多元化引导;业态调整,"[[""urban_operation"", ""服务"", ""主""], [""urban_renewal"", ""服务"", ""次""]]",0.769,0,111.277107,30.698995
ermawu_T1_00013,ermawu,sim_ermawu_l3l4,回迁政策还在等落实,回迁安置,urban_renewal,服务,0.486,Neutral,neu,0.684,0.734,0.885,急,历史街区,2025-02-01,2025-02 春节·二马路一期开街爆满,0.747,aspect,回迁安置,ermawu,ermawu,1,1,回迁安置,neu,"[""回迁安置""]",回迁安置,防止大拆大建通知(不大规模搬迁原住民),回迁安置;原住民保留,"[[""urban_renewal"", ""服务"", ""主""], [""urban_governance"", ""服务"", ""次""]]",0.919,0,111.28032,30.698456
ermawu_T1_00014,ermawu,sim_ermawu_l3l4,施工期灰尘大,施工扰民,urban_governance,环境,0.231,Very Negative,neg,0.649,0.922,0.852,愁,历史街区,2025-02-02,2025-02 春节·二马路一期开街爆满,0.56,aspect,施工扰民,ermawu,ermawu,1,1,施工扰民,neg,"[""施工扰民""]",施工扰民,城市体检评估管理办法(施工期扰民),老旧小区改造;施工组织优化,"[[""urban_governance"", ""环境"", ""主""], [""urban_renewal"", ""设施"", ""次""]]",0.756,0,111.27766,30.699242
ermawu_T1_00015,ermawu,sim_ermawu_l3l4,烟火气这东西见仁见智,烟火气保留,urban_renewal,文化,0.473,Neutral,neu,0.728,0.934,0.706,盼,历史街区,2025-02-09,2025-02 春节·二马路一期开街爆满,0.599,aspect,烟火气保留,ermawu,ermawu,1,1,烟火气保留,neu,"[""烟火气保留""]",烟火气保留,防止大拆大建通知(留改拆·留底线),历史街区保护更新;社区营造,"[[""urban_renewal"", ""文化"", ""主""], [""urban_renewal"", ""环境"", ""次""]]",0.835,0,111.276824,30.698127
ermawu_T1_00016,ermawu,sim_ermawu_l3l4,改造还在施工，吵得受不了,施工扰民,urban_governance,环境,0.307,Negative,neg,0.857,0.791,0.9,愁,历史街区,2025-02-02,2025-02 春节·二马路一期开街爆满,0.757,aspect,施工扰民,ermawu,ermawu,1,1,施工扰民,neg,"[""施工扰民""]",施工扰民,城市体检评估管理办法(施工期扰民),老旧小区改造;施工组织优化,"[[""urban_governance"", ""环境"", ""主""], [""urban_renewal"", ""设施"", ""次""]]",0.817,0,111.284501,30.692187
ermawu_T1_00017,ermawu,sim_ermawu_l3l4,施工绕行太麻烦,施工扰民,urban_governance,环境,0.192,Very Negative,neg,0.832,0.903,0.795,愁,历史街区,2025-02-08,2025-02 春节·二马路一期开街爆满,0.521,aspect,施工扰民,ermawu,ermawu,1,1,施工扰民,neg,"[""施工扰民""]",施工扰民,城市体检评估管理办法(施工期扰民),老旧小区改造;施工组织优化,"[[""urban_governance"", ""环境"", ""主""], [""urban_renewal"", ""设施"", ""次""]]",0.717,0,111.274257,30.696552
ermawu_T1_00018,ermawu,sim_ermawu_l3l4,开街后保洁跟上了,垃圾秩序,urban_governance,环境,0.506,Neutral,neu,0.61,0.851,0.836,急,历史街区,2025-02-09,2025-02 春节·二马路一期开街爆满,0.859,aspect,垃圾秩序,ermawu,ermawu,1,1,垃圾秩序,neu,"[""垃圾秩序""]",垃圾秩序,城市更新行动意见(市容治理),市容环境治理;垃圾分类,"[[""urban_governance"", ""环境"", ""主""], [""urban_governance"", ""服务"", ""次""]]",0.826,0,111.285607,30.696411
ermawu_T1_00019,ermawu,sim_ermawu_l3l4,期待焕新效果,文旅活力,urban_operation,事件,0.508,Neutral,neu,0.799,0.906,0.865,急,历史街区,2025-02-02,2025-02 春节·二马路一期开街爆满,0.699,aspect,文旅活力,ermawu,ermawu,1,1,文旅活力,neu,"[""文旅活力""]",文旅活力,"城市更新""十五五""规划(文脉保护;文旅)",文旅品牌;节假日活动组织,"[[""urban_operation"", ""事件"", ""主""], [""urban_operation"", ""文化"", ""次""]]",0.928,1,111.283712,30.692228
ermawu_T1_00020,ermawu,sim_ermawu_l3l4,业态还在调整中,业态丰富度,urban_operation,服务,0.425,Neutral,neu,0.42,0.811,0.707,盼,历史街区,2025-02-05,2025-02 春节·二马路一期开街爆满,0.667,aspect,业态丰富度,ermawu,ermawu,1,1,业态丰富度,neu,"[""业态丰富度""]",业态丰富度,关于持续推进城市更新行动的意见(业态引导),业态多元化引导;业态调整,"[[""urban_operation"", ""服务"", ""主""], [""urban_renewal"", ""服务"", ""次""]]",0.726,0,111.284744,30.690018
ermawu_T1_00021,ermawu,sim_ermawu_l3l4,施工期灰尘大,施工扰民,urban_governance,环境,0.187,Negative,neg,0.527,0.906,0.777,怒,历史街区,2025-02-07,2025-02 春节·二马路一期开街爆满,0.656,aspect,施工扰民,ermawu,ermawu,1,1,施工扰民,neg,"[""施工扰民""]",施工扰民,城市体检评估管理办法(施工期扰民),老旧小区改造;施工组织优化,"[[""urban_governance"", ""环境"", ""主""], [""urban_renewal"", ""设施"", ""次""]]",0.878,0,111.277285,30.694682
ermawu_T1_00022,ermawu,sim_ermawu_l3l4,施工绕行太麻烦,施工扰民,urban_governance,环境,0.08,Negative,neg,0.525,0.761,0.723,哀,历史街区,2025-02-05,2025-02 春节·二马路一期开街爆满,0.643,aspect,施工扰民,ermawu,ermawu,1,1,施工扰民,neg,"[""施工扰民""]",施工扰民,城市体检评估管理办法(施工期扰民),老旧小区改造;施工组织优化,"[[""urban_governance"", ""环境"", ""主""], [""urban_renewal"", ""设施"", ""次""]]",0.934,0,111.277938,30.697708
ermawu_T1_00023,ermawu,sim_ermawu_l3l4,开街后保洁跟上了,垃圾秩序,urban_governance,环境,0.461,Neutral,neu,0.507,0.872,0.727,急,历史街区,2025-02-10,2025-02 春节·二马路一期开街爆满,0.432,aspect,垃圾秩序,ermawu,ermawu,1,1,垃圾秩序,neu,"[""垃圾秩序""]",垃圾秩序,城市更新行动意见(市容治理),市容环境治理;垃圾分类,"[[""urban_governance"", ""环境"", ""主""], [""urban_governance"", ""服务"", ""次""]]",0.794,0,111.274279,30.698002
ermawu_T1_00024,ermawu,sim_ermawu_l3l4,回迁户型不满意,回迁安置,urban_renewal,服务,0.313,Negative,neg,0.775,0.898,0.909,愁,历史街区,2025-02-08,2025-02 春节·二马路一期开街爆满,0.534,aspect,回迁安置,ermawu,ermawu,1,1,回迁安置,neg,"[""回迁安置""]",回迁安置,防止大拆大建通知(不大规模搬迁原住民),回迁安置;原住民保留,"[[""urban_renewal"", ""服务"", ""主""], [""urban_governance"", ""服务"", ""次""]]",0.85,0,111.279512,30.698408
ermawu_T1_00025,ermawu,sim_ermawu_l3l4,期待焕新效果,文旅活力,urban_operation,事件,0.526,Neutral,neu,0.602,0.784,0.727,盼,历史街区,2025-02-09,2025-02 春节·二马路一期开街爆满,0.808,aspect,文旅活力,ermawu,ermawu,1,1,文旅活力,neu,"[""文旅活力""]",文旅活力,"城市更新""十五五""规划(文脉保护;文旅)",文旅品牌;节假日活动组织,"[[""urban_operation"", ""事件"", ""主""], [""urban_operation"", ""文化"", ""次""]]",0.815,1,111.288906,30.694804
ermawu_T1_00026,ermawu,sim_ermawu_l3l4,人太多挤得慌，根本走不动,文旅活力,urban_operation,事件,0.227,Very Negative,neg,0.826,0.833,0.788,怒,历史街区,2025-02-02,2025-02 春节·二马路一期开街爆满,0.851,aspect,文旅活力,ermawu,ermawu,1,1,文旅活力,neg,"[""文旅活力""]",文旅活力,"城市更新""十五五""规划(文脉保护;文旅)",文旅品牌;节假日活动组织,"[[""urban_operation"", ""事件"", ""主""], [""urban_operation"", ""文化"", ""次""]]",0.865,1,111.286892,30.694815
ermawu_T1_00027,ermawu,sim_ermawu_l3l4,施工期灰尘大,施工扰民,urban_governance,环境,0.144,Negative,neg,0.525,0.857,0.701,愁,历史街区,2025-02-01,2025-02 春节·二马路一期开街爆满,0.679,aspect,施工扰民,ermawu,ermawu,1,1,施工扰民,neg,"[""施工扰民""]",施工扰民,城市体检评估管理办法(施工期扰民),老旧小区改造;施工组织优化,"[[""urban_governance"", ""环境"", ""主""], [""urban_renewal"", ""设施"", ""次""]]",0.767,0,111.282853,30.69276
ermawu_T1_00028,ermawu,sim_ermawu_l3l4,盼着开街呢，老街改造进度有点慢,文旅活力,urban_operation,事件,0.536,Neutral,neu,0.611,0.812,0.71,盼,历史街区,2025-02-10,2025-02 春节·二马路一期开街爆满,0.749,aspect,文旅活力,ermawu,ermawu,1,1,文旅活力,neu,"[""文旅活力""]",文旅活力,"城市更新""十五五""规划(文脉保护;文旅)",文旅品牌;节假日活动组织,"[[""urban_operation"", ""事件"", ""主""], [""urban_operation"", ""文化"", ""次""]]",0.817,1,111.281746,30.699622
ermawu_T1_00029,ermawu,sim_ermawu_l3l4,既有文化味更有烟火气，难得,烟火气保留,urban_renewal,文化,0.905,Positive,pos,0.521,0.724,0.762,喜,历史街区,2025-02-02,2025-02 春节·二马路一期开街爆满,0.514,aspect,烟火气保留,ermawu,ermawu,1,1,烟火气保留,pos,"[""烟火气保留""]",烟火气保留,防止大拆大建通知(留改拆·留底线),历史街区保护更新;社区营造,"[[""urban_renewal"", ""文化"", ""主""], [""urban_renewal"", ""环境"", ""次""]]",0.824,0,111.285066,30.696081
ermawu_T1_00030,ermawu,sim_ermawu_l3l4,业态单一，逛一次就够,业态丰富度,urban_operation,服务,0.238,Negative,neg,0.505,0.881,0.871,哀,历史街区,2025-02-07,2025-02 春节·二马路一期开街爆满,0.436,aspect,业态丰富度,ermawu,ermawu,1,1,业态丰富度,neg,"[""业态丰富度""]",业态丰富度,关于持续推进城市更新行动的意见(业态引导),业态多元化引导;业态调整,"[[""urban_operation"", ""服务"", ""主""], [""urban_renewal"", ""服务"", ""次""]]",0.726,0,111.283125,30.692294
ermawu_T1_00031,ermawu,sim_ermawu_l3l4,二马路修旧如旧，百年老街焕发新生,修旧如旧,urban_renewal,文化,0.952,Very Positive,pos,0.306,0.929,0.762,乐,历史街区,2025-02-02,2025-02 春节·二马路一期开街爆满,0.803,aspect,修旧如旧,ermawu,ermawu,1,1,修旧如旧,pos,"[""修旧如旧""]",修旧如旧,防止大拆大建通知;关于持续推进城市更新行动的意见,历史街区/历史文化街区保护更新,"[[""urban_renewal"", ""文化"", ""主""], [""urban_operation"", ""文化"", ""次""]]",0.858,0,111.280987,30.697866
ermawu_T1_00032,ermawu,sim_ermawu_l3l4,开街后保洁跟上了,垃圾秩序,urban_governance,环境,0.452,Neutral,neu,0.463,0.848,0.865,盼,历史街区,2025-02-09,2025-02 春节·二马路一期开街爆满,0.504,aspect,垃圾秩序,ermawu,ermawu,1,1,垃圾秩序,neu,"[""垃圾秩序""]",垃圾秩序,城市更新行动意见(市容治理),市容环境治理;垃圾分类,"[[""urban_governance"", ""环境"", ""主""], [""urban_governance"", ""服务"", ""次""]]",0.877,0,111.278445,30.696627
ermawu_T1_00033,ermawu,sim_ermawu_l3l4,节假日保洁跟不上,垃圾秩序,urban_governance,环境,0.247,Negative,neg,0.923,0.722,0.877,愁,历史街区,2025-02-09,2025-02 春节·二马路一期开街爆满,0.666,aspect,垃圾秩序,ermawu,ermawu,1,1,垃圾秩序,neg,"[""垃圾秩序""]",垃圾秩序,城市更新行动意见(市容治理),市容环境治理;垃圾分类,"[[""urban_governance"", ""环境"", ""主""], [""urban_governance"", ""服务"", ""次""]]",0.942,0,111.278357,30.697913
ermawu_T1_00034,ermawu,sim_ermawu_l3l4,开街垃圾满地没人扫,垃圾秩序,urban_governance,环境,0.267,Very Negative,neg,0.51,0.724,0.825,怒,历史街区,2025-02-07,2025-02 春节·二马路一期开街爆满,0.598,aspect,垃圾秩序,ermawu,ermawu,1,1,垃圾秩序,neg,"[""垃圾秩序""]",垃圾秩序,城市更新行动意见(市容治理),市容环境治理;垃圾分类,"[[""urban_governance"", ""环境"", ""主""], [""urban_governance"", ""服务"", ""次""]]",0.831,0,111.283114,30.693629
ermawu_T1_00035,ermawu,sim_ermawu_l3l4,施工期灰尘大,施工扰民,urban_governance,环境,0.348,Negative,neg,0.938,0.938,0.784,愁,历史街区,2025-02-04,2025-02 春节·二马路一期开街爆满,0.875,aspect,施工扰民,ermawu,ermawu,1,1,施工扰民,neg,"[""施工扰民""]",施工扰民,城市体检评估管理办法(施工期扰民),老旧小区改造;施工组织优化,"[[""urban_governance"", ""环境"", ""主""], [""urban_renewal"", ""设施"", ""次""]]",0.846,0,111.282585,30.692651
ermawu_T1_00036,ermawu,sim_ermawu_l3l4,保留原貌真有味道，修新如旧做得好,修旧如旧,urban_renewal,文化,0.438,Neutral,neu,0.483,0.823,0.834,盼,历史街区,2025-02-10,2025-02 春节·二马路一期开街爆满,0.72,aspect,修旧如旧,ermawu,ermawu,1,1,修旧如旧,neu,"[""修旧如旧""]",修旧如旧,防止大拆大建通知;关于持续推进城市更新行动的意见,历史街区/历史文化街区保护更新,"[[""urban_renewal"", ""文化"", ""主""], [""urban_operation"", ""文化"", ""次""]]",0.836,0,111.282046,30.697575
ermawu_T1_00037,ermawu,sim_ermawu_l3l4,回迁户型不满意,回迁安置,urban_renewal,服务,0.11,Negative,neg,0.523,0.823,0.892,愁,历史街区,2025-02-02,2025-02 春节·二马路一期开街爆满,0.832,aspect,回迁安置,ermawu,ermawu,1,1,回迁安置,neg,"[""回迁安置""]",回迁安置,防止大拆大建通知(不大规模搬迁原住民),回迁安置;原住民保留,"[[""urban_renewal"", ""服务"", ""主""], [""urban_governance"", ""服务"", ""次""]]",0.839,0,111.278947,30.700577
ermawu_T1_00038,ermawu,sim_ermawu_l3l4,盼着开街呢，老街改造进度有点慢,文旅活力,urban_operation,事件,0.571,Neutral,neu,0.799,0.725,0.71,急,历史街区,2025-02-10,2025-02 春节·二马路一期开街爆满,0.581,aspect,文旅活力,ermawu,ermawu,1,1,文旅活力,neu,"[""文旅活力""]",文旅活力,"城市更新""十五五""规划(文脉保护;文旅)",文旅品牌;节假日活动组织,"[[""urban_operation"", ""事件"", ""主""], [""urban_operation"", ""文化"", ""次""]]",0.849,1,111.278763,30.700717
ermawu_T1_00039,ermawu,sim_ermawu_l3l4,老味道流失，可惜,烟火气保留,urban_renewal,文化,0.163,Very Negative,neg,0.811,0.811,0.727,愁,历史街区,2025-02-06,2025-02 春节·二马路一期开街爆满,0.809,aspect,烟火气保留,ermawu,ermawu,1,1,烟火气保留,neg,"[""烟火气保留""]",烟火气保留,防止大拆大建通知(留改拆·留底线),历史街区保护更新;社区营造,"[[""urban_renewal"", ""文化"", ""主""], [""urban_renewal"", ""环境"", ""次""]]",0.766,0,111.28209,30.692556
ermawu_T1_00040,ermawu,sim_ermawu_l3l4,开街后保洁跟上了,垃圾秩序,urban_governance,环境,0.565,Neutral,neu,0.712,0.801,0.719,急,历史街区,2025-02-06,2025-02 春节·二马路一期开街爆满,0.594,aspect,垃圾秩序,ermawu,ermawu,1,1,垃圾秩序,neu,"[""垃圾秩序""]",垃圾秩序,城市更新行动意见(市容治理),市容环境治理;垃圾分类,"[[""urban_governance"", ""环境"", ""主""], [""urban_governance"", ""服务"", ""次""]]",0.926,0,111.278611,30.700144
ermawu_T1_00041,ermawu,sim_ermawu_l3l4,施工绕行太麻烦,施工扰民,urban_governance,环境,0.221,Very Negative,neg,0.539,0.849,0.828,哀,历史街区,2025-02-05,2025-02 春节·二马路一期开街爆满,0.79,aspect,施工扰民,ermawu,ermawu,1,1,施工扰民,neg,"[""施工扰民""]",施工扰民,城市体检评估管理办法(施工期扰民),老旧小区改造;施工组织优化,"[[""urban_governance"", ""环境"", ""主""], [""urban_renewal"", ""设施"", ""次""]]",0.698,0,111.279874,30.695335
ermawu_T1_00042,ermawu,sim_ermawu_l3l4,施工快收尾了，忍忍,施工扰民,urban_governance,环境,0.454,Neutral,neu,0.785,0.781,0.812,盼,历史街区,2025-02-10,2025-02 春节·二马路一期开街爆满,0.718,aspect,施工扰民,ermawu,ermawu,1,1,施工扰民,neu,"[""施工扰民""]",施工扰民,城市体检评估管理办法(施工期扰民),老旧小区改造;施工组织优化,"[[""urban_governance"", ""环境"", ""主""], [""urban_renewal"", ""设施"", ""次""]]",0.755,0,111.276401,30.698532
ermawu_T1_00043,ermawu,sim_ermawu_l3l4,期待焕新效果,文旅活力,urban_operation,事件,0.412,Neutral,neu,0.665,0.816,0.774,急,历史街区,2025-02-05,2025-02 春节·二马路一期开街爆满,0.465,aspect,文旅活力,ermawu,ermawu,1,1,文旅活力,neu,"[""文旅活力""]",文旅活力,"城市更新""十五五""规划(文脉保护;文旅)",文旅品牌;节假日活动组织,"[[""urban_operation"", ""事件"", ""主""], [""urban_operation"", ""文化"", ""次""]]",0.69,1,111.282473,30.696081
ermawu_T1_00044,ermawu,sim_ermawu_l3l4,改造还在施工，吵得受不了,施工扰民,urban_governance,环境,0.357,Negative,neg,0.889,0.919,0.887,哀,历史街区,2025-02-07,2025-02 春节·二马路一期开街爆满,0.603,aspect,施工扰民,ermawu,ermawu,1,1,施工扰民,neg,"[""施工扰民""]",施工扰民,城市体检评估管理办法(施工期扰民),老旧小区改造;施工组织优化,"[[""urban_governance"", ""环境"", ""主""], [""urban_renewal"", ""设施"", ""次""]]",0.717,0,111.277838,30.699108
ermawu_T1_00045,ermawu,sim_ermawu_l3l4,停车太难，绕三圈找不到,停车难,urban_governance,设施,0.155,Very Negative,neg,0.615,0.882,0.712,哀,历史街区,2025-02-02,2025-02 春节·二马路一期开街爆满,0.561,aspect,停车难,ermawu,ermawu,1,1,停车难,neg,"[""停车难""]",停车难,完整社区(配套设施补齐);一刻钟生活圈,停车设施补齐;配套完善,"[[""urban_governance"", ""设施"", ""主""], [""urban_planning"", ""设施"", ""次""]]",0.947,0,111.284153,30.69287
ermawu_T1_00046,ermawu,sim_ermawu_l3l4,回迁安置拖很久,回迁安置,urban_renewal,服务,0.282,Very Negative,neg,0.565,0.905,0.849,愁,历史街区,2025-02-04,2025-02 春节·二马路一期开街爆满,0.835,aspect,回迁安置,ermawu,ermawu,1,1,回迁安置,neg,"[""回迁安置""]",回迁安置,防止大拆大建通知(不大规模搬迁原住民),回迁安置;原住民保留,"[[""urban_renewal"", ""服务"", ""主""], [""urban_governance"", ""服务"", ""次""]]",0.86,0,111.286372,30.695018
ermawu_T1_00047,ermawu,sim_ermawu_l3l4,人太多挤得慌，根本走不动,文旅活力,urban_operation,事件,0.16,Very Negative,neg,0.799,0.726,0.751,怒,历史街区,2025-02-02,2025-02 春节·二马路一期开街爆满,0.626,aspect,文旅活力,ermawu,ermawu,1,1,文旅活力,neg,"[""文旅活力""]",文旅活力,"城市更新""十五五""规划(文脉保护;文旅)",文旅品牌;节假日活动组织,"[[""urban_operation"", ""事件"", ""主""], [""urban_operation"", ""文化"", ""次""]]",0.709,1,111.283395,30.695136
ermawu_T1_00048,ermawu,sim_ermawu_l3l4,业态单一，逛一次就够,业态丰富度,urban_operation,服务,0.075,Negative,neg,0.876,0.726,0.76,愁,历史街区,2025-02-03,2025-02 春节·二马路一期开街爆满,0.82,aspect,业态丰富度,ermawu,ermawu,1,1,业态丰富度,neg,"[""业态丰富度""]",业态丰富度,关于持续推进城市更新行动的意见(业态引导),业态多元化引导;业态调整,"[[""urban_operation"", ""服务"", ""主""], [""urban_renewal"", ""服务"", ""次""]]",0.77,0,111.278819,30.700988
ermawu_T1_00049,ermawu,sim_ermawu_l3l4,业态单一，逛一次就够,业态丰富度,urban_operation,服务,0.306,Very Negative,neg,0.555,0.859,0.816,哀,历史街区,2025-02-01,2025-02 春节·二马路一期开街爆满,0.749,aspect,业态丰富度,ermawu,ermawu,1,1,业态丰富度,neg,"[""业态丰富度""]",业态丰富度,关于持续推进城市更新行动的意见(业态引导),业态多元化引导;业态调整,"[[""urban_operation"", ""服务"", ""主""], [""urban_renewal"", ""服务"", ""次""]]",0.732,0,111.279215,30.692674
ermawu_T1_00050,ermawu,sim_ermawu_l3l4,不变拆真改，原汁原味加分,修旧如旧,urban_renewal,文化,0.678,Very Positive,pos,0.309,0.849,0.839,乐,历史街区,2025-02-01,2025-02 春节·二马路一期开街爆满,0.879,aspect,修旧如旧,ermawu,ermawu,1,1,修旧如旧,pos,"[""修旧如旧""]",修旧如旧,防止大拆大建通知;关于持续推进城市更新行动的意见,历史街区/历史文化街区保护更新,"[[""urban_renewal"", ""文化"", ""主""], [""urban_operation"", ""文化"", ""次""]]",0.773,0,111.282086,30.692296
