维度,序号,指标项,体检结果,单位,原始体检结果,问题明细,问题分布/落位,问题_task_8,问题_project_type,问题_board
小区（社区）,5,停车泊位缺口数（个）,白家冲社区、白马山社区、北山坡社区、常家,个,白家冲社区、白马山社区、北山坡社区、常家湾社区、朝阳路社区、城东社区、船柴社区、大学路社区、东景家园、东门外正街社区、二马路社区、港务社区、古塔社区、果园路社区、韩家坝社区、合益路社区、环城东路社区、黄河路社区、江山社区、解放路社区、金安岭社区、刘家大堰社区、绿萝路社区、南苑社区、平湖馨苑社区、气象台社区、桥北社区、樵湖岭社区、青岛路社区、山河园路社区、山庄路社区、汕头路社区、上导堤社区、深圳路社区、胜利二路社区、胜利四路社区、四方堰社区、苏家榜社区、桃花岭社区、体育场路社区、铁路坝社区、土街头社区、王家河社区、望洲社区、伍临路社区、西峡社区、香锦社区、肖家岗社区、新隆康路社区、幸福路社区、学堂湾社区、丫口社区、杨岔路社区、夷陵路社区、营盘路社区、长江社区、长樵溪社区、赵家湾社区、镇境山社区、镇平路社区、珠海路社区,白家冲社区（100个）、白马山社区（2600个）、北山坡社区（220个）、常家湾社区（80个）、朝阳路社区（100个）、城东社区（286个）、船柴社区（100个）、大学路社区（2000个）、东景家园（100个）、东门外正街社区（1205个）、二马路社区（100个）、港务社区（60个）、古塔社区（300个）、果园路社区（40个）、韩家坝社区（50个）、合益路社区（50个）、环城东路社区（200个）、黄河路社区（20个）、江山社区（3791个）、解放路社区（150个）、金安岭社区（320个）、刘家大堰社区（67个）、绿萝路社区（293个）、南苑社区（385个）、平湖馨苑社区（500个）、气象台社区（50个）、桥北社区（65个）、樵湖岭社区（440个）、青岛路社区（300个）、山河园路社区（10个）、山庄路社区（2135个）、汕头路社区（50个）、上导堤社区（30个）、深圳路社区（460个）、胜利二路社区（495个）、胜利四路社区（420个）、四方堰社区（1000个）、苏家榜社区（800个）、桃花岭社区（100个）、体育场路社区（1509个）、铁路坝社区（1426个）、土街头社区（280个）、王家河社区（100个）、望洲社区（700个）、伍临路社区（270个）、西峡社区（110个）、香锦社区（820个）、肖家岗社区（140个）、新隆康路社区（20个）、幸福路社区（115个）、学堂湾社区（761个）、丫口社区（4个）、杨岔路社区（150个）、夷陵路社区（1474个）、营盘路社区（215个）、长江社区（40个）、长樵溪社区（410个）、赵家湾社区（315个）、镇境山社区（100个）、镇平路社区（200个）、珠海路社区（1291个）。 老旧小区机动车停车位缺口大；部分区域静态交通秩序较乱。,,完整社区,停车设施,民生基础需求
小区（社区）,6,新能源汽车充电桩缺口数（个）,四方堰社区、望洲社区、峡州社区、常家湾社,个,四方堰社区、望洲社区、峡州社区、常家湾社区、镇境山社区、镇平路社区、绿萝路社区、气象台社区、铁路坝社区、南苑社区、古塔社区、深圳路社区、苏家榜社区、韩家坝社区、北山坡社区、环城东路社区、胜利四路社区、杨岔路社区、白沙路社区、王家河社区、伍临路社区、西峡社区、桥北社区、幸福路社区、大学路社区、刘家大堰社区、樵湖岭社区、土街头社区、营盘路社区、东门外正街社区、朝阳路社区、果园路社区、黄河路社区、肖家岗社区、山庄路社区、上导堤社区、二马路社区、桃花岭社区、夷陵路社区、体育场路社区,四方堰社区（80个）、望洲社区（150个）、峡州社区（10个）、常家湾社区（7个）、镇境山社区（14个）、镇平路社区（10个）、绿萝路社区（47个）、气象台社区（100个）、铁路坝社区（38个）、南苑社区（10个）、古塔社区（40个）、深圳路社区（10个）、苏家榜社区（30个）、韩家坝社区（10个）、北山坡社区（10个）、环城东路社区（20个）、胜利四路社区（3个）、杨岔路社区（10个）、白沙路社区（10个）、王家河社区（100个）、伍临路社区（10个）、西峡社区（90个）、桥北社区（16个）、幸福路社区（60个）、大学路社区（10个）、刘家大堰社区（50个）、樵湖岭社区（20个）、土街头社区（150个）、营盘路社区（27个）、东门外正街社区（119个）、朝阳路社区（30个）、果园路社区（24个）、黄河路社区（2个）、肖家岗社区（10个）、山庄路社区（100个）、上导堤社区（10个）、二马路社区（10个）、桃花岭社区（12个）、夷陵路社区（96个）、体育场路社区（40个）。 现有充电桩数量无法满足居民新能源汽车充电需求，存在供需矛盾；充电桩在安装、使用、运维环节存在流程不规范、维护不到位、兼容性差等问题。,,完整社区,停车设施,民生基础需求
小区（社区）,7,未配建电动自行车充电设施的小区数量（个）,江山社区、峡州社区、金安岭社区、镇境山社,个,江山社区、峡州社区、金安岭社区、镇境山社区、镇平路社区、绿萝路社区、长樵溪社区、气象台社区、南苑社区、学堂湾社区、环城东路社区、新隆康路社区、杨岔路社区、清波路社区、大学路社区、樵湖岭社区、香锦社区、营盘路社区、果园路社区、肖家岗社区、山庄路社区、二马路社区、桃花岭社区、体育场路社区,基础设施配置不足；违规充电行为治理失效；消防安全责任体系存在漏洞。,,完整社区,停车设施,民生基础需求
小区（社区）,8,未达标配建公共活动场地的小区数量(个),四方堰社区、镇境山社区、绿萝路社区、长樵,个,四方堰社区、镇境山社区、绿萝路社区、长樵溪社区、南苑社区、合益路社区、万达社区、清波路社区、樵湖岭社区、土街头社区、营盘路社区、东门外正街社区、肖家岗社区、山庄路社区、体育场路社区,公共空间、活动场地配建存在不足；全龄友好活动设施存在短板。,,完整社区,公服设施,民生基础需求
小区（社区）,9,不达标的步行道长度（千米）,四方堰社区、金安岭社区、镇境山社区、铁路,千米,四方堰社区、金安岭社区、镇境山社区、铁路坝社区、深圳路社区、新隆康路社区、桔城路社区、幸福路社区、香锦社区、肖家岗社区、山庄路社区、上导堤社区,四方堰社区（0.05千米）、金安岭社区（1.1千米）、镇境山社区（0.02千米）、铁路坝社区（0.1千米）、深圳路社区（0.1千米）、新隆康路社区（0.2千米）、桔城路社区（0.1千米）、幸福路社区（0.15千米）、香锦社区（0.07千米）、肖家岗社区（0.05千米）、山庄路社区（0.1千米）、上导堤社区（0.05千米）。市政基础设施存在不足，路面存在失修，照明存在缺失情况；步行系统安全性存在缺陷，慢行网络断点，铺装适老化不足；无障碍环境建设滞后。,,完整社区,交通设施,民生基础需求
小区（社区）,10,未实施物业管理的小区数量（个）,四方堰社区、翁家堰社区、望洲社区、常家湾,个,四方堰社区、翁家堰社区、望洲社区、常家湾社区、镇平路社区、白龙井社区、绿萝路社区、解放路社区、气象台社区、石板溪社区、铁路坝社区、南苑社区、山河园路社区、艾家嘴社区、东山花园社区、城东社区、学堂湾社区、深圳路社区、苏家榜社区、长江社区、韩家坝社区、宝联社区、徐家坝社区、北山坡社区、岳湾路社区、张家坡社区、金家台社区、港务社区、环城东路社区、胜利二路社区、张家店社区、胜利四路社区、新隆康路社区、建设社区、万达社区、杨岔路社区、白沙路社区、桔城路社区、墨池巷社区、龙盘湖社区、王家河社区、伍临路社区、西峡社区、石子岭社区、清波路社区、桥北社区、幸福路社区、丫口社区、常刘路社区、大学路社区、樵湖岭社区、中书街社区、香锦社区、尚书巷社区、环城北路社区、营盘路社区、东门外正街社区、果园路社区、黄河路社区、小林园社区、肖家岗社区、山庄路社区、上导堤社区、二马路社区、夜明珠社区、桃花岭社区、夷陵路社区、体育场路社区、赵家湾社区,"部分小区尚未建立""资质合规、服务标准、资金透明、应急有力""的专业化物业管理体系。",,完整社区,物业管理,民生基础需求
小区（社区）,11,需要进行智慧化改造的小区数量（个）,城东社区、大学路社区、二马路社区、港务社,个,城东社区、大学路社区、二马路社区、港务社区、光明路社区、果园路社区、甲街社区、解放路社区、绿萝路社区、清波路社区、四方堰社区、铁路坝社区、土街头社区、万达社区、幸福路社区、丫口社区、营盘路社区、长樵溪社区、镇平路社区,智能化基础设施配建缺失，末端配送设施缺位，安防系统功能残缺；公共服务信息化效能不足，政务服务断层，便民系统易用性差；智慧安全管理体系薄弱；平台整合能力存在缺陷。,,完整社区,物业管理,其他
街区,1,中学服务半径覆盖率（%）,56.10,%,56.10,空间分布不均，就近入学不便,伍家岗区生物产业园范围内由于没有中学，因此其覆盖率为0%。伍家岗街办、宝塔河街办和伍家乡由于辖区面积较大，人口较多，中学配置不足。,城市功能,公服设施,民生基础需求
街区,2,未达标配建的多功能运动场地数量（个）,6,个,6,1.未建设多功能运动场地的街办2个。,西陵区东苑街办和伍家岗区生物产业园。,完整社区,公服设施,民生基础需求
街区,2,未达标配建的多功能运动场地数量（个）,6,个,6,2.已建未达标的街办4个。,西陵区的学院街办、夜明珠街办和西陵街办和伍家岗区的大公桥街办。,完整社区,公服设施,民生基础需求
街区,3,未达标配建的文化活动中心数量（个）,-,个,-,文化设施在布局上达到了全覆盖，但具体到每个设施的建设标准上还存在差异。,西陵区和伍家岗区老城区内大多数早期建设文化设施，由于建设标准较低，大多面积不足。,完整社区,公服设施,民生基础需求
街区,4,存在道路照明问题的道路数量（个）,39,个,39,缺少路灯配置或路灯照明不足,西陵区的部分老旧小区的巷道或小区出入口处缺少路灯配置或路灯照明不足。,完整社区,交通设施,民生基础需求
街区,5,存在乱停乱放车辆问题的道路数量（条）,4,,4,主要反映在机动车无序停放、非机动车无序停放以及占用绿化带人行道等三方面。,西陵区二马路与伍家岗区的兴润路存在全路段的乱停乱放问题。西陵区唐家湾路在一方菜场路段和伍家岗区共谊一路在梧桐邑小区路段车辆乱停乱放问题较为严重。,完整社区,街面秩序,民生基础需求
街区,6,需要更新改造的老旧商业街区数量（个）,3,个,3,商业形态单一，缺乏差异化品牌组合与网红首店引流能力，无法满足多元化消费需求。,西陵区葛洲坝街办的葛洲坝宾馆片区、西陵街办的华翔商业中心和西陵后路商业街区。,城中村/老厂区/老街区,城市更新,其他
街区,7,需要进行更新改造的老旧厂区数量（个）,5,个,5,主要问题包括亩均税收低于认定值和与片区规划功能定位不相符等情况。,西陵区夜明珠街办的夜明珠钢材市场，西陵街办的四零三厂，窑湾街办的永兴科技园、东苑管理区的宜昌太平鸟创意投资有限公司和宜昌三峡制药有限公司。,城中村/老厂区/老街区,城市更新,其他
街区,8,需要进行更新改造的老旧生活区数量（个）,2,个,2,基础设施老化。休闲活动空间被挤压。公共配套设施不足。,西陵区西坝街办的建设路片区和云集街办的南湖片区。,城中村/老厂区/老街区,城市更新,民生基础需求
城区,1,建成区人口密度（万人/平方公里）,地级市（州）0.7≤X≤1.5万人/平方,万人/㎞²,地级市（州）0.7≤X≤1.5万人/平方公里平县级市（县、区）0.6≤X≤1万人/平方公里,0.67,一方面建成区人口密度整体偏低，另一方面人口密度空间分布不均衡，人口主要分布于西陵核心区、伍家岗核心区、小溪塔组团,城市生态系统,环境治理,其他
城区,2,足球场地服务半径覆盖率(%),——,%,——,26.34,体检结果体现出现状足球场地空间布局失衡，主要集中西陵区和伍家岗区，点军猇亭等组团存在服务盲区,城市生态系统,公服设施,其他
城区,3,新建建筑中绿色建筑占比（%）,——,%,——,51.47,现状市场驱动力弱，开发商面临增量成本顾虑，行业技术与实施能力存在短板，制约规模化推广,城市生态系统,环境治理,其他
城区,4,历史建筑空置率（%）,——,%,——,29,历史建筑整体活化利用不够,城市历史文化,城市更新,其他
城区,5,城市消防站服务半径覆盖率(%),——,%,——,20.59,加强猇亭和伍家岗该区域小型消防站建设，加密建成区内消防设施建设,城市安全韧性,安全消防,安全韧性底线
城区,6,高层民用建筑智能化火灾监测预警覆盖率（%）,100,%,100%,11.6,历史已建成高层建筑智能化火灾监测预警系统配置率低,城市安全韧性,安全消防,安全韧性底线
城区,7,新中心人口密度(万人/平方公里),——,万人/㎞²,——,0.50,低于市辖区建成区整体水平，建议加快建设，吸引更多高端人才工作和定居,城市功能,住房,其他
