社区,排序,安全-市政管网,安全-安全消防,安全-住房,安全-交通,民生-公服设施,民生-住房,民生-环境治理,民生-停车设施,民生-交通设施,民生-城市更新,民生-物业街面,安全-市政管网%,安全-安全消防%,安全-住房%,安全-交通%,民生-公服设施%,民生-住房%,民生-环境治理%,民生-停车设施%,民生-交通设施%,民生-城市更新%,民生-物业街面%,总点数,总占比%
大堰湾社区,92,0,0,0,0,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.04,9,0.34
白马山社区,92,0,0,4,0,4,0,0,1,0,0,0,0.0,0.0,0.15,0.0,0.15,0.0,0.0,0.04,0.0,0.0,0.0,9,0.34
金家台社区,95,0,1,1,0,4,0,0,0,0,0,2,0.0,0.04,0.04,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.08,8,0.3
火光村,95,0,0,0,0,8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,8,0.3
环城北路社区,100,0,0,1,0,3,0,0,0,0,0,3,0.0,0.0,0.04,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.11,7,0.26
胡家冲社区,100,0,0,0,0,7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,7,0.26
大树湾社区,100,0,0,0,0,7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,7,0.26
共谊村,100,0,0,0,0,7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,7,0.26
叶家坝社区,100,0,0,4,0,3,0,0,0,0,0,0,0.0,0.0,0.15,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,7,0.26
临江溪社区,100,0,0,0,0,7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,7,0.26
共强村,100,0,0,0,0,7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,7,0.26
八一路社区,100,0,0,1,0,6,0,0,0,0,0,0,0.0,0.0,0.04,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,7,0.26
东山社区,111,0,0,0,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,6,0.23
东艳路社区,111,0,0,4,0,2,0,0,0,0,0,0,0.0,0.0,0.15,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,6,0.23
艾家嘴社区,111,0,0,2,0,2,0,0,0,0,0,2,0.0,0.0,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.08,6,0.23
锦绣社区,111,0,0,0,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,6,0.23
李家湖社区,111,0,0,0,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,6,0.23
徐家坝社区,111,0,0,0,0,5,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.04,6,0.23
沈家店社区,111,0,0,0,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,6,0.23
江山社区,111,0,0,0,0,4,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.08,0.0,0.0,0.0,6,0.23
唐家湾社区,111,0,0,0,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,6,0.23
岳家冲社区,111,0,0,0,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,6,0.23
岳湾路社区,111,0,0,0,0,5,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.04,6,0.23
土城路社区,111,0,0,0,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,6,0.23
平湖馨苑社区,111,0,0,0,0,5,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.04,0.0,0.0,0.0,6,0.23
竹涛山社区,119,0,0,0,0,4,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.04,5,0.19
常刘路社区,119,0,0,0,0,3,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.04,0.0,0.04,5,0.19
石板溪社区,119,0,0,0,0,2,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.11,5,0.19
东星社区,123,0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,4,0.15
共升村,123,0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,4,0.15
联丰村,123,0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,4,0.15
山河园路社区,123,0,0,1,0,1,0,0,1,0,0,1,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.04,0.0,0.0,0.04,4,0.15
后坪社区,123,0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,4,0.15
共勤村,127,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,3,0.11
共前村,127,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,3,0.11
柏临河路社区,127,0,0,0,0,2,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.04,3,0.11
东方社区,131,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,2,0.08
三峡物流园社区,131,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,2,0.08
廖家湾社区,131,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,2,0.08
鑫鼎社区,131,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,2,0.08
白沙脑社区,131,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,2,0.08
金巴岭社区,135,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,1,0.04
土门村,135,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,1,0.04
福久源社区,135,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,1,0.04
龙盘湖社区,135,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,1,0.04
