point_count,cell_id,n_民生基础,n_安全韧性,n_噪声,n_住宅,n_物业,n_停车,n_出行,n_管网安全,n_出行安全,n_消防安全,n_环境安全,n_其他,n_ev_投诉,n_ev_求助,n_ev_建议,n_ev_其他,top_community,n_in_xw,n_in_174,in_xw,in_174,top_class9,top_class9_count,top_aspect
26,grid_400_8491_1319,22,4,12,6,2,1,1,3,0,1,0,0,18,7,1,0,胜利四路社区,26,26,True,True,噪声,12,民生基础
1,grid_400_8404_1359,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,False,False,噪声,1,民生基础
24,grid_400_8477_1336,23,1,6,8,5,3,1,1,0,0,0,0,23,1,0,0,八一路社区,24,19,True,False,住宅,8,民生基础
2,grid_400_8465_1343,2,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,磨盘社区,0,1,False,True,噪声,1,民生基础
1,grid_400_8488_1295,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,0,0,False,False,管网安全,1,安全韧性
61,grid_400_8482_1339,52,9,5,6,5,8,28,6,3,0,0,0,44,12,4,1,花艳社区,61,61,True,True,出行,28,民生基础
6,grid_400_8476_1344,6,0,3,0,0,2,1,0,0,0,0,0,3,3,0,0,,6,0,True,False,噪声,3,民生基础
1,grid_400_8451_1360,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,石板冲社区,0,1,False,True,管网安全,1,安全韧性
1,grid_400_8432_1302,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,False,False,住宅,1,民生基础
2,grid_400_8445_1354,2,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,桐岭新村社区,0,2,False,True,物业,1,民生基础
15,grid_400_8476_1336,14,1,1,7,2,1,3,0,0,1,0,0,9,6,0,0,沈家店社区,15,15,True,True,住宅,7,民生基础
1,grid_400_8435_1276,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,False,False,噪声,1,民生基础
11,grid_400_8481_1339,10,1,6,2,0,1,1,1,0,0,0,0,9,1,1,0,花艳社区,11,11,True,True,噪声,6,民生基础
4,grid_400_8475_1344,4,0,3,0,0,1,0,0,0,0,0,0,4,0,0,0,,4,0,True,False,噪声,3,民生基础
4,grid_400_8523_1446,2,2,2,0,0,0,0,2,0,0,0,0,4,0,0,0,,0,0,False,False,噪声,2,民生基础
1,grid_400_8431_1302,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,0,0,False,False,出行,1,民生基础
36,grid_400_8475_1336,30,6,7,12,4,3,4,4,2,0,0,0,29,5,2,0,临江溪社区,36,36,True,True,住宅,12,民生基础
4,grid_400_8480_1339,4,0,2,1,0,1,0,0,0,0,0,0,4,0,0,0,花艳社区,4,4,True,True,噪声,2,民生基础
1,grid_400_8474_1344,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,1,0,True,False,管网安全,1,安全韧性
3,grid_400_8481_1277,3,0,0,1,0,0,2,0,0,0,0,0,2,1,0,0,,0,0,False,False,出行,2,民生基础
2,grid_400_8502_1317,1,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,石子岭社区,2,1,True,False,物业,1,民生基础
1,grid_400_8480_1300,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,False,False,噪声,1,民生基础
1,grid_400_8507_1320,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,上导堤社区,1,1,True,True,出行,1,民生基础
1,grid_400_8437_1359,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,下马槽社区,0,1,False,True,出行,1,民生基础
1,grid_400_8485_1295,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,False,False,噪声,1,民生基础
6,grid_400_8535_1444,6,0,0,2,4,0,0,0,0,0,0,0,6,0,0,0,,0,0,False,False,物业,4,民生基础
5,grid_400_8501_1317,4,1,2,2,0,0,0,1,0,0,0,0,2,3,0,0,,5,0,True,True,噪声,2,民生基础
6,grid_400_8490_1301,5,1,0,4,0,1,0,1,0,0,0,0,0,6,0,0,,0,0,False,False,住宅,4,民生基础
15,grid_400_8486_1342,11,4,7,0,0,3,1,1,3,0,0,0,11,3,1,0,,12,0,False,False,噪声,7,民生基础
3,grid_400_8431_1299,2,1,0,1,0,0,1,0,1,0,0,0,2,0,1,0,,0,0,False,False,住宅,1,民生基础
2,grid_400_8484_1295,2,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,,0,0,False,False,出行,2,民生基础
22,grid_400_8500_1317,10,12,0,2,3,3,2,10,1,1,0,0,1,20,1,0,东湖社区,22,22,True,True,管网安全,10,安全韧性
5,grid_400_8485_1342,3,2,2,0,0,1,0,1,1,0,0,0,3,1,1,0,,5,0,True,False,噪声,2,民生基础
3,grid_400_8392_1387,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,,0,0,False,False,物业,3,民生基础
6,grid_400_8499_1317,4,2,2,0,1,0,1,0,2,0,0,0,3,1,2,0,锦绣社区,6,6,True,True,噪声,2,民生基础
3,grid_400_8504_1320,2,1,0,0,1,1,0,0,1,0,0,0,3,0,0,0,望洲社区,3,3,True,True,物业,1,民生基础
3,grid_400_8498_1325,1,2,1,0,0,0,0,2,0,0,0,0,1,2,0,0,东山花园社区,3,3,True,True,管网安全,2,安全韧性
1,grid_400_8526_1337,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,0,0,False,False,管网安全,1,安全韧性
2,grid_400_8498_1317,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,石板溪社区,2,2,True,True,物业,1,民生基础
1,grid_400_8503_1320,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,英雄山社区,1,1,True,True,噪声,1,民生基础
9,grid_400_8497_1325,9,0,3,3,3,0,0,0,0,0,0,0,9,0,0,0,东山花园社区,9,9,True,True,噪声,3,民生基础
1,grid_400_8509_1318,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,0,0,True,True,出行,1,民生基础
1,grid_400_8483_1342,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,花艳社区,1,1,True,True,停车,1,民生基础
4,grid_400_8557_1254,3,1,0,3,0,0,0,1,0,0,0,0,3,1,0,0,,0,0,False,False,住宅,3,民生基础
8,grid_400_8531_1444,7,1,2,1,2,2,0,1,0,0,0,0,5,2,1,0,,0,0,False,False,噪声,2,民生基础
46,grid_400_8497_1317,33,13,8,14,7,4,0,10,2,1,0,0,28,18,0,0,石板溪社区,46,46,True,True,住宅,14,民生基础
20,grid_400_8502_1320,11,9,0,5,6,0,0,5,4,0,0,0,7,13,0,0,金安岭社区,20,20,True,True,物业,6,民生基础
6,grid_400_8496_1325,5,1,2,0,1,1,1,1,0,0,0,0,5,1,0,0,珠海路社区,6,6,True,True,噪声,2,民生基础
1,grid_400_8513_1321,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,峡江社区,0,1,False,True,停车,1,民生基础
7,grid_400_8518_1451,6,1,4,0,0,0,2,1,0,0,0,0,5,2,0,0,,0,0,False,False,噪声,4,民生基础
9,grid_400_8496_1317,7,2,2,3,2,0,0,2,0,0,0,0,7,2,0,0,气象台社区,9,9,True,True,住宅,3,民生基础
1,grid_400_8576_1468,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,0,0,False,False,管网安全,1,安全韧性
2,grid_400_8501_1320,2,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,望洲社区,2,2,True,True,住宅,1,民生基础
25,grid_400_8495_1325,24,1,10,4,2,8,0,1,0,0,0,0,22,2,1,0,珠海路社区,25,25,True,True,噪声,10,民生基础
26,grid_400_8481_1342,20,6,10,3,0,7,0,2,4,0,0,0,21,5,0,0,花艳社区,26,1,True,True,噪声,10,民生基础
3,grid_400_8492_1343,2,1,0,0,0,1,1,1,0,0,0,0,2,1,0,0,,0,0,False,False,停车,1,民生基础
35,grid_400_8488_1345,24,11,3,2,6,0,13,2,8,0,1,0,22,9,4,0,,0,0,False,False,出行,13,民生基础
7,grid_400_8500_1320,6,1,1,3,2,0,0,1,0,0,0,0,5,2,0,0,常刘路社区,7,7,True,True,住宅,3,民生基础
1,grid_400_8494_1325,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,学堂湾社区,1,1,True,True,住宅,1,民生基础
7,grid_400_8496_1322,6,1,1,0,2,3,0,0,1,0,0,0,4,3,0,0,香锦社区,7,7,True,True,停车,3,民生基础
1,grid_400_8413_1306,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,False,False,噪声,1,民生基础
5,grid_400_8501_1367,5,0,2,1,1,0,1,0,0,0,0,0,4,1,0,0,,0,0,False,False,噪声,2,民生基础
2,grid_400_8487_1345,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,,0,0,False,False,停车,2,民生基础
7,grid_400_8468_1341,3,4,0,1,1,1,0,2,2,0,0,0,4,2,1,0,龙盘湖社区,7,7,True,True,管网安全,2,安全韧性
7,grid_400_8495_1322,6,1,0,2,4,0,0,0,1,0,0,0,4,3,0,0,东山社区,7,7,True,True,物业,4,民生基础
2,grid_400_8453_1366,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,黄龙寺社区,0,2,False,True,出行,2,民生基础
3,grid_400_8500_1367,3,0,1,0,1,0,1,0,0,0,0,0,3,0,0,0,,0,0,False,False,噪声,1,民生基础
2,grid_400_8486_1345,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,,0,0,False,False,噪声,2,民生基础
2,grid_400_8449_1353,2,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,蔡家畈社区,0,2,False,True,物业,2,民生基础
3,grid_400_8492_1325,3,0,2,0,0,1,0,0,0,0,0,0,3,0,0,0,学堂湾社区,3,3,True,True,噪声,2,民生基础
4,grid_400_8494_1322,3,1,1,1,1,0,0,0,1,0,0,0,2,2,0,0,赵家湾社区,4,4,True,True,噪声,1,民生基础
1,grid_400_8452_1366,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,黄龙寺社区,0,1,False,True,管网安全,1,安全韧性
1,grid_400_8510_1259,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,0,0,False,False,出行,1,民生基础
7,grid_400_8479_1347,1,6,0,0,1,0,0,3,3,0,0,0,1,5,1,0,,0,0,False,False,管网安全,3,安全韧性
1,grid_400_8371_1347,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,False,False,噪声,1,民生基础
2,grid_400_8448_1353,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,桐岭社区,0,2,False,True,噪声,2,民生基础
3,grid_400_8491_1325,3,0,2,0,1,0,0,0,0,0,0,0,3,0,0,0,王家坝社区,3,3,True,True,噪声,2,民生基础
7,grid_400_8493_1322,5,2,0,5,0,0,0,2,0,0,0,0,5,2,0,0,体育场路社区,7,7,True,True,住宅,5,民生基础
4,grid_400_8504_1323,2,2,1,1,0,0,0,2,0,0,0,0,3,1,0,0,黄河路社区,4,4,True,True,管网安全,2,民生基础
2,grid_400_8515_1324,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,丁家坝社区,0,2,False,True,出行,2,民生基础
1,grid_400_8537_1341,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,0,0,False,False,出行,1,民生基础
6,grid_400_8447_1353,5,1,2,0,1,2,0,1,0,0,0,0,4,2,0,0,桐岭社区,0,6,False,True,噪声,2,民生基础
16,grid_400_8492_1322,14,2,5,3,5,1,0,2,0,0,0,0,8,8,0,0,体育场路社区,16,16,True,True,噪声,5,民生基础
60,grid_400_8486_1327,51,9,16,10,8,12,5,7,2,0,0,0,53,5,2,0,东星社区,60,57,True,True,噪声,16,民生基础
1,grid_400_8491_1387,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,False,False,噪声,1,民生基础
1,grid_400_8481_1306,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,,0,0,False,False,出行安全,1,安全韧性
25,grid_400_8503_1323,11,14,5,2,0,2,2,5,9,0,0,0,12,12,1,0,黄河路社区,25,25,True,True,出行安全,9,安全韧性
42,grid_400_8491_1330,42,0,12,9,12,9,0,0,0,0,0,0,37,4,1,0,岳湾路社区,42,20,True,False,噪声,12,民生基础
11,grid_400_8497_1328,11,0,1,5,5,0,0,0,0,0,0,0,10,1,0,0,汕头路社区,11,11,True,True,住宅,5,民生基础
2,grid_400_8420_1431,1,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,,0,0,False,False,物业,1,民生基础
1,grid_400_8348_1268,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,0,0,False,False,出行,1,民生基础
17,grid_400_8488_1348,16,1,11,1,1,0,3,1,0,0,0,0,15,2,0,0,,0,0,False,False,噪声,11,民生基础
4,grid_400_8446_1353,4,0,1,1,1,0,1,0,0,0,0,0,3,1,0,0,桐岭社区,0,4,False,True,噪声,1,民生基础
1,grid_400_8474_1365,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,0,0,False,False,出行,1,民生基础
1,grid_400_8483_1288,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,0,0,False,False,物业,1,民生基础
96,grid_400_8491_1322,83,13,38,16,18,4,7,4,3,6,0,0,79,15,2,0,体育场路社区,96,96,True,True,噪声,38,民生基础
36,grid_400_8485_1327,33,3,18,4,4,4,3,3,0,0,0,0,35,1,0,0,韩家坝社区,36,36,True,True,噪声,18,民生基础
24,grid_400_8490_1330,19,5,3,3,4,4,5,4,1,0,0,0,21,1,2,0,岳湾路社区,24,17,True,False,出行,5,民生基础
28,grid_400_8502_1323,26,2,12,4,6,4,0,2,0,0,0,0,25,3,0,0,大学路社区,28,28,True,True,噪声,12,民生基础
1,grid_400_8482_1345,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,,0,0,False,False,出行安全,1,安全韧性
1,grid_400_8409_1353,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,False,False,噪声,1,民生基础
1,grid_400_8447_1350,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,桐岭社区,0,1,False,True,住宅,1,民生基础
247,grid_400_8490_1322,220,27,106,58,30,16,10,13,8,6,0,0,228,13,6,0,建设社区,247,247,True,True,噪声,106,民生基础
1,grid_400_8509_1311,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,0,0,False,False,管网安全,1,安全韧性
33,grid_400_8489_1330,28,5,8,7,9,1,3,0,3,2,0,0,31,2,0,0,中南路社区,33,33,True,False,物业,9,民生基础
21,grid_400_8501_1323,17,4,4,5,4,2,2,3,1,0,0,0,14,6,1,0,大学路社区,21,21,True,True,住宅,5,民生基础
1,grid_400_8482_1280,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,0,0,False,False,出行,1,民生基础
22,grid_400_8512_1324,20,2,5,9,4,2,0,0,0,2,0,0,22,0,0,0,兴安社区,0,22,False,True,住宅,9,民生基础
1,grid_400_8444_1353,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,新金岭社区,0,1,False,True,噪声,1,民生基础
1,grid_400_8480_1353,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,,1,0,True,False,出行安全,1,安全韧性
15,grid_400_8489_1322,13,2,10,0,2,1,0,2,0,0,0,0,12,1,2,0,万达社区,15,15,True,True,噪声,10,民生基础
19,grid_400_8488_1330,16,3,5,3,3,4,1,0,0,3,0,0,18,1,0,0,白家冲社区,19,16,True,True,噪声,5,民生基础
1,grid_400_8443_1368,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,False,False,住宅,1,民生基础
3,grid_400_8480_1345,3,0,0,0,1,2,0,0,0,0,0,0,2,1,0,0,,3,0,False,False,停车,2,民生基础
2,grid_400_8485_1309,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,,0,0,False,False,物业,1,民生基础
4,grid_400_8541_1453,3,1,0,0,1,0,2,1,0,0,0,0,3,0,1,0,,0,0,False,False,出行,2,民生基础
2,grid_400_8507_1326,2,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,金斗山社区,2,2,True,True,物业,1,民生基础
12,grid_400_8512_1329,12,0,10,0,0,2,0,0,0,0,0,0,12,0,0,0,东城社区,0,12,False,True,噪声,10,民生基础
23,grid_400_8487_1330,22,1,3,9,4,5,1,1,0,0,0,0,21,1,1,0,白家冲社区,23,23,True,True,住宅,9,民生基础
12,grid_400_8481_1335,12,0,2,8,0,2,0,0,0,0,0,0,12,0,0,0,福久源社区,12,12,True,True,住宅,8,民生基础
3,grid_400_8493_1328,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,长江社区,3,3,True,True,住宅,3,民生基础
3,grid_400_8529_1437,3,0,0,2,1,0,0,0,0,0,0,0,0,3,0,0,,0,0,False,False,住宅,2,民生基础
1,grid_400_8407_1358,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,False,False,噪声,1,民生基础
44,grid_400_8486_1330,42,2,11,16,5,8,2,2,0,0,0,0,41,3,0,0,合益路社区,44,27,True,True,住宅,16,民生基础
2,grid_400_8570_1323,2,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,,0,0,False,False,噪声,1,民生基础
16,grid_400_8480_1335,12,4,1,3,5,0,3,1,0,1,2,0,16,0,0,0,,16,0,True,True,物业,5,民生基础
4,grid_400_8483_1309,4,0,0,4,0,0,0,0,0,0,0,0,3,1,0,0,,0,0,False,False,住宅,4,民生基础
2,grid_400_8494_1310,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,朱市街社区,0,2,False,True,管网安全,2,安全韧性
39,grid_400_8485_1330,39,0,20,1,6,12,0,0,0,0,0,0,37,2,0,0,徐家坝社区,39,2,True,True,噪声,20,民生基础
43,grid_400_8479_1335,41,2,14,14,11,2,0,2,0,0,0,0,41,2,0,0,伍临路社区,43,43,True,True,噪声,14,民生基础
5,grid_400_8478_1350,2,3,1,1,0,0,0,0,1,2,0,0,4,1,0,0,,5,0,True,False,消防安全,2,安全韧性
8,grid_400_8493_1310,4,4,0,1,1,0,2,4,0,0,0,0,2,5,1,0,朱市街社区,0,8,False,True,管网安全,4,民生基础
1,grid_400_8437_1290,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,,0,0,False,False,出行安全,1,安全韧性
1,grid_400_8405_1358,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,False,False,住宅,1,民生基础
26,grid_400_8484_1330,19,7,10,1,2,6,0,1,0,6,0,0,21,4,1,0,徐家坝社区,26,10,True,False,噪声,10,民生基础
